feature,gain_share
age_d,0.26090532988377907
log_age,0.07492473062040182
sg_powder,0.061534384019691225
agg_sg,0.03592986222290975
sand_b,0.03571145554488223
water_b,0.03321413567332314
blaine_m2kg,0.03166567803551056
act_ms_eff,0.028559208962849074
year,0.01867471616653105
ox_CaO,0.016681819070021805
ox_SO3,0.015104561040700296
water_total_b,0.014933779872864929
agg_wabs_pct,0.014870187820289857
ox_MgO,0.014298538328381297
d50_um,0.013868807643407019
adx_sap_pct,0.013490288001373111
curing_rh_pct,0.012909303572843938
pw_ggbfs,0.012019074871514832
ca_si,0.01165095949923529
total_solids_b,0.01152154716931254
agg_dmax_mm,0.0095210928544771
alkali_eq,0.00915806099404102
ox_Fe2O3,0.008880122254481714
bet_m2g,0.00876435126984543
ox_K2O,0.008441445613757778
pw_opc,0.008409369871958935
act_sodium_silicate,0.008264354001219339
act_water_b,0.008012983599663672
al_si,0.007984041378746781
ox_TiO2,0.007702898250010425
