feature,gain_share
age_d,0.16346807583534065
water_b,0.08271256377004563
water_total_b,0.0528170712549296
w_solids_total,0.052036653333104
log_water_b,0.032042358353870246
sand_b,0.031567482968843784
ox_LOI,0.031096086943013843
sg_powder,0.02799261572503756
log_age,0.02278750699082086
curing_temp_C,0.022613839267311135
agg_sg,0.018530192408557477
pw_lime,0.017731489551400324
ox_Fe2O3,0.01624048598042001
pw_silica_fume,0.014445873148195709
ox_SO3,0.014356144773539189
hydraulic_modulus,0.01395402107781775
sp_solid_pct,0.013471333138313545
bet_m2g,0.01332337484162455
agg_wabs_pct,0.01303408013886774
d50_um,0.01300660029025522
al_si,0.012650625591920716
adx_accelerator_pct,0.01235508684559539
ox_CaO,0.011879021914054393
adx_other_admix_pct,0.011754990017898904
ox_Al2O3,0.010972887135658591
total_solids_b,0.010802111517048843
cement_share,0.010251507035965644
ox_MgO,0.010232291219795383
pw_other_powder,0.010225812627458052
ox_P2O5,0.0099883314121133
