feature,gain_share
ox_Na2O,0.13318637506432754
age_d,0.11626412009402386
water_b,0.10339769394406192
hydraulic_modulus,0.06051795987679518
log_age,0.05474462066955715
log_water_b,0.051507733622409
ox_SO3,0.050597757721985895
sand_b,0.043564474115562454
curing_rh_pct,0.03899963577997926
pw_gypsum_sulfate,0.03577990322365735
ox_MgO,0.027267608350617378
alkali_eq,0.02575177308109624
ox_K2O,0.02436328997630699
ox_LOI,0.02397197241864489
sg_powder,0.021283560065750974
agg_sg,0.018391776418358378
ox_CaO,0.018328399571395374
vma_solid_pct,0.01700016929840964
adx_sp_pce_pct,0.016057186956045494
ox_Fe2O3,0.015334324280706383
sp_solid_pct,0.01517552125762683
agg_dmax_mm,0.014342972624781618
cement_share,0.01434192141588909
adx_vma_pct,0.012830400373248731
d50_um,0.009445747323403544
pw_opc,0.008380388774964661
agg_fm,0.005803866846973868
ox_TiO2,0.004743156327983434
mode_parts,0.004080968387399931
nano_total_pct,0.002844210296332956
