feature,gain_share
age_d,0.2332755604222001
log_age,0.13475499057905677
ox_SiO2,0.11071310617564026
ca_si,0.08399165162373042
ox_Na2O,0.038812574150579995
adx_sp_pce_pct,0.02659827753490226
ox_P2O5,0.02342862833763165
ox_MgO,0.022748275513796046
curing_temp_C,0.020982992513491998
water_b,0.020530080849650793
sg_powder,0.019008340653365857
d50_um,0.01814036651692157
sp_solid_pct,0.018004175144553346
pw_opc,0.016613482943406487
ox_SO3,0.015235516040000278
ox_CaO,0.014415210638367692
ox_LOI,0.013282859834251896
binder_family,0.01307434650082994
water_total_b,0.0129992973145681
pw_limestone_powder,0.012139974469065265
ox_TiO2,0.01154117376384936
ox_Fe2O3,0.010700255992628702
bet_m2g,0.009066380013068837
mode_parts,0.008779271559617656
wb_source_reported,0.008727151472707136
blaine_m2kg,0.00859903706113982
ox_Al2O3,0.008331350704382364
sand_b,0.007549086510298771
hydraulic_modulus,0.00680721708545674
pw_csa,0.006541866698602076
