feature,gain_share
water_b,0.2798800779614182
sg_powder,0.14865051408854174
w_solids_total,0.08282095000171767
fibre_tensile_MPa,0.0626627962738016
water_total_b,0.05749172290101816
adx_sp_pce_pct,0.03946628493928669
ca_si,0.027522928528254092
ox_CaO,0.02222605473935389
blaine_m2kg,0.02048263501859656
bet_m2g,0.019964294338312857
fib_pe_vol,0.01682510918373384
log_water_b,0.016385909945061894
fibre_length_mm,0.013966747606943343
ox_SO3,0.012969704747132285
ox_LOI,0.011945661278966912
sand_b,0.010855236591199724
age_d,0.009787963149748363
fibre_emod_GPa,0.00923695180649977
alkali_eq,0.007756733778055844
ox_P2O5,0.00746133410673783
curing_rh_pct,0.007325488484829958
ox_Al2O3,0.006848159017208429
al_si,0.006828039927723988
ox_MgO,0.006742971038818831
agg_natural_sand,0.006547197350940255
fibre_total_mass_b,0.006459929443345413
agg_fm,0.006259085767789156
sp_solid_pct,0.005824001049045281
adx_vma_pct,0.005727442671894156
ox_Fe2O3,0.005189468650770649
