feature,gain_share
fibre_length_mm,0.1343730399533262
ox_SiO2,0.09634536756092822
bet_m2g,0.09010267535644625
ox_MgO,0.08925844608308985
curing_rh_pct,0.07281079473985691
water_b,0.059081327270668546
ca_si,0.05742161705179645
adx_vma_pct,0.05497862684023197
log_water_b,0.053465991405918435
adx_sp_pce_pct,0.03417846458793892
chem_coverage,0.02932113345960479
al_si,0.02456943615203714
fibre_tensile_MPa,0.018633346135786502
sand_b,0.01820445841975262
chem_imputed_frac,0.016426112143865614
agg_wabs_pct,0.015547596393463406
vma_solid_pct,0.013556483313143873
pw_silica_fume,0.012837405885484598
fibre_total_vol_pct,0.010966772850986338
agg_sg,0.009025982279427212
ox_SO3,0.008488304376140022
ox_LOI,0.008239520131522182
pw_fly_ash_f,0.007896068538744087
fibre_total_mass_b,0.007640717741516885
sp_solid_pct,0.00745128151734209
fibre_aspect,0.006740749893100976
agg_dmax_mm,0.006601344122400639
year,0.006349975364765799
agg_fm,0.006108018976818175
ox_Al2O3,0.005631239834325209
