feature,gain_share
age_d,0.3619388727033201
log_age,0.05806679393921485
binder_family,0.04939098423868807
water_b,0.02829743082503536
log_water_b,0.025567994071970135
total_solids_b,0.022544330946513154
act_ms_eff,0.022537166159524814
act_total_b,0.018028166793979356
sand_b,0.01801932400722291
agg_wabs_pct,0.01715386111166976
ox_TiO2,0.015727771244792178
sg_powder,0.013431321416628346
w_solids_total,0.013289038207747713
act_sodium_silicate,0.013253421487424652
ox_LOI,0.012460949616333743
ox_Na2O,0.011906799151325817
d50_um,0.01081715215903641
ox_P2O5,0.01074311961476847
ox_MgO,0.010349796239004077
curing_temp_C,0.010052462652637836
act_water_b,0.00992246190993139
ox_SO3,0.009506969495566864
ox_CaO,0.009384765126801996
year,0.009194587373106968
ox_K2O,0.008496418126089603
pw_ggbfs,0.00831936143986499
system_type,0.00826882831040374
pw_inert_filler_other,0.008182369604141766
blaine_m2kg,0.007998915583316427
agg_fm,0.0076925409255131725
