feature,gain_share
age_d,0.48392587162188055
log_age,0.07923163950125396
total_solids_b,0.07317970730018532
ox_MgO,0.06409709679536396
sand_b,0.03763030083235795
water_b,0.030578629185559755
adx_sp_other_pct,0.028009011176271408
pw_limestone_powder,0.021451884052731244
blaine_m2kg,0.015886922184596426
alkali_eq,0.014878340503676698
pw_opc,0.014835460134829568
pw_calcined_clay,0.013577633964457332
ox_SO3,0.010556649248528898
ox_Fe2O3,0.010421520015102116
curing_temp_C,0.010148023777456227
ox_P2O5,0.009559843858442161
bet_m2g,0.008529971411955703
log_water_b,0.007367738043317823
ox_LOI,0.007109014244685796
agg_dmax_mm,0.006096049555876873
adx_sp_pce_pct,0.005852466417392498
pw_other_powder,0.004926323409658514
ox_SiO2,0.0040726866066527236
ox_Al2O3,0.0036454781398004977
chem_coverage,0.0035710370114196495
sp_solid_pct,0.0034532546691614483
system_type,0.0033260928156206636
pw_csa,0.002802274908081882
scm_frac,0.002741552600964848
ox_Na2O,0.002238536237015616
