feature,gain_share
is_3dcp,0.38968490650864646
bet_m2g,0.03901837635183623
agg_fm,0.03127855801014176
adx_sp_pce_pct,0.0308313137093411
ox_LOI,0.030324835527415533
d50_um,0.02871000904850696
sg_powder,0.028053504793154747
adx_vma_pct,0.02147610744231787
sp_solid_pct,0.020257425878847594
act_total_b,0.020048111965996093
system_type,0.01989120410857079
agg_sg,0.016442254213257613
vma_solid_pct,0.015431980397764567
fibre_emod_GPa,0.014227731920923218
pw_ggbfs,0.013789884728432945
al_si,0.012198724429905236
ox_K2O,0.012019467410330014
curing_rh_pct,0.011945230943259026
water_b,0.011900884437189577
ox_MgO,0.01128675514810599
alkali_eq,0.010295460707509552
act_water_b,0.010280499203008853
agg_wabs_pct,0.010161990359313653
year,0.009523991661183801
ox_SiO2,0.008998432042645763
sand_b,0.008985012492850617
ox_Na2O,0.00883888106493518
phys_coverage,0.008834709664308034
blaine_m2kg,0.008758767169618719
ox_Fe2O3,0.00841526880723478
