feature,gain_share
bet_m2g,0.11995554447929829
ox_LOI,0.09064634273252105
adx_vma_pct,0.06959304419402142
pw_ggbfs,0.06647100298793022
agg_fm,0.058436943833439135
sp_solid_pct,0.057466229947712236
sand_b,0.037829775187186394
blaine_m2kg,0.03242637689353674
alkali_eq,0.030654425634528287
adx_sp_pce_pct,0.025513863765420013
system_type,0.025460049793247248
water_b,0.022155425612071435
total_solids_b,0.021487594204469013
ox_P2O5,0.01973770030402832
agg_wabs_pct,0.019669670441501096
ox_Fe2O3,0.018531734091303757
year,0.01735324488900516
pw_other_powder,0.017309633477010217
agg_dmax_mm,0.01728340105782219
d50_um,0.017053101132649053
ox_CaO,0.016570499817776346
sg_powder,0.014264846547900993
log_water_b,0.014026536954853187
hydraulic_modulus,0.01270637861192141
ox_SiO2,0.011063497476346794
ox_SO3,0.011047529980595645
al_si,0.010703242783777229
pw_fly_ash_f,0.01009860278136605
ox_Na2O,0.009961298033792481
pw_opc,0.008883462959110099
