feature,gain_share
w_solids_total,0.25347136218132943
curing_temp_C,0.08236978956635956
water_b,0.07494606926951962
sp_solid_pct,0.0622890375614635
chem_coverage,0.049437760358211166
blaine_m2kg,0.044520245941690906
year,0.043692719001414096
scm_frac,0.0398477763936983
ox_SO3,0.0382419981228272
curing_rh_pct,0.03552834744307986
heat_cured,0.02530235282564208
adx_vma_pct,0.023374178738883377
adx_sp_pce_pct,0.02305599057135845
curing_type,0.022632121100648262
vma_solid_pct,0.020196864124421995
sand_b,0.020144400938968254
alkali_eq,0.015083252309591467
age_d,0.014269907279016333
log_water_b,0.014213308811131684
chem_imputed_frac,0.014065170612177266
total_solids_b,0.00922426724291082
ox_CaO,0.009030031567726231
pw_fly_ash_f,0.007535777204798926
ox_SiO2,0.004693835627116946
cement_share,0.0046455124074842695
agg_wabs_pct,0.004567491810870511
pw_lime,0.004384962722612894
phys_imputed_frac,0.004234632394911126
ca_si,0.003850036776511937
is_3dcp,0.0036252636601216185
