feature,gain_share
agg_natural_sand,0.2139719448411288
adx_sp_pce_pct,0.11586799266272972
sg_powder,0.10732846564324017
sand_b,0.08038256457993542
pw_opc,0.050195444882869186
ox_K2O,0.0443220954738888
bet_m2g,0.043801240522229716
total_solids_b,0.042111251737880884
ox_P2O5,0.03989564951208947
blaine_m2kg,0.031487040232425684
alkali_eq,0.029084396044882586
water_b,0.023069013937967515
ox_CaO,0.01969288959473351
agg_wabs_pct,0.018616283655381857
al_si,0.016942239585477886
pw_silica_fume,0.01572294476276344
pw_csa,0.015714646187166437
ox_SiO2,0.01568600394730652
adx_vma_pct,0.014767454933980611
year,0.011746816609784484
sp_solid_pct,0.007483334219917778
log_water_b,0.006516074830373495
ox_Na2O,0.005760265926061471
water_total_b,0.005263103958371112
scm_frac,0.0037304214062578236
cement_share,0.0036222441943778855
fibre_length_mm,0.0032296838652596843
d50_um,0.003168658703749326
ox_TiO2,0.0026924364402784867
mode_parts,0.002550490711695963
