feature,gain_share
pw_csa,0.15822400848743223
adx_accelerator_pct,0.08905453905951316
al_si,0.0880120786802272
ca_si,0.07191565159172464
pw_opc,0.04326512227264372
ox_Al2O3,0.04276008216415624
ox_SO3,0.03376650537458916
ox_CaO,0.03182534956412614
hydraulic_modulus,0.020776431549621797
agg_standard_sand,0.019976450896616996
ox_MgO,0.01826436034188663
ox_P2O5,0.017016130262639977
ox_Fe2O3,0.017005358510766986
w_solids_total,0.016991736725376076
water_b,0.015491383545252377
sg_powder,0.014838658484531253
phys_coverage,0.014750254369758575
act_sio2_pct,0.014078332796358665
blaine_m2kg,0.013603110017865126
curing_rh_pct,0.01345979804489314
d50_um,0.013330058530408391
year,0.012883844211096547
act_total_b,0.012112162260102206
alkali_eq,0.011462190480776678
bet_m2g,0.011265733589557488
act_ms_eff,0.011158033450981661
ox_TiO2,0.011099445871236239
sand_b,0.010129038911121126
act_solids_b,0.008980518479682837
water_total_b,0.008806303867929247
