feature,gain_share
ox_SO3,0.22378095117616495
adx_accelerator_pct,0.08533011919885013
ox_MgO,0.04903726213305306
pw_opc,0.045069440834123994
blaine_m2kg,0.04478850743329747
d50_um,0.044233306555633574
al_si,0.03994785067938398
sp_solid_pct,0.036221839203699924
ox_P2O5,0.03367344964135881
ox_SiO2,0.031254723933084726
fibre_total_vol_pct,0.029474253913549395
total_solids_b,0.02923517018676234
fib_pp_vol,0.02350153305321932
bet_m2g,0.023157312605660743
agg_fm,0.0182961900113989
fibre_total_mass_b,0.016990074621839824
alkali_eq,0.016463680941855643
binder_family,0.016365400650973288
pw_gypsum_sulfate,0.01456284114606808
ox_TiO2,0.013694159197162359
ox_Al2O3,0.013661336606202626
ox_K2O,0.011068066145618479
pw_csa,0.009794158953555128
log_d50_um,0.00927987304554408
pw_silica_fume,0.009000634749345685
ca_si,0.00808133947303313
pw_fly_ash_f,0.007638086514804536
agg_wabs_pct,0.0071803207152550735
agg_sg,0.006907412069097509
curing_temp_C,0.006812708705534816
