feature,gain_share
age_d,0.2006287229956261
water_total_b,0.08994126261457731
w_solids_total,0.07475345088785959
ox_LOI,0.044906817963998646
sand_b,0.03625667898210627
agg_sg,0.03520363991099841
fibre_tensile_MPa,0.03244406688331188
water_b,0.032068849898093374
bet_m2g,0.031262449829752195
curing_rh_pct,0.027022998536313222
agg_fm,0.016960201414105345
agg_wabs_pct,0.01629401913452952
ox_SO3,0.015306746401982785
curing_temp_C,0.014964742989900767
ox_MgO,0.014883250953075446
sg_powder,0.014741629923414643
year,0.014596121733824146
blaine_m2kg,0.01422016006508022
wb_source_reported,0.013885059690056687
pw_lime,0.01157936068315355
chem_coverage,0.011197899465990636
al_si,0.010675707522517466
ox_SiO2,0.01011339949117637
ox_P2O5,0.009668840987423573
ox_Al2O3,0.009054701685772975
ox_Na2O,0.008647381576133787
d50_um,0.008052440537133899
log_age,0.007898151319725762
total_solids_b,0.007734838080939467
log_water_b,0.007663855943481072
