feature,gain_share
age_d,0.26228176112849
water_b,0.0842212827236006
ox_LOI,0.0658495134104279
sand_b,0.04632896179383977
d50_um,0.03692138254551795
fibre_tensile_MPa,0.03601714592741726
blaine_m2kg,0.03301290161725216
log_water_b,0.02809867579534144
year,0.026997059600970614
sp_solid_pct,0.020348462606156706
log_age,0.019195956482889333
curing_rh_pct,0.01682836065739238
ox_MgO,0.015428334932200787
ox_SO3,0.013914994769432318
adx_sp_pce_pct,0.013873592796373048
curing_temp_C,0.013716258032201424
sg_powder,0.012869718410359533
ox_Na2O,0.01268538976054406
agg_sg,0.011316540720823925
ox_K2O,0.010783517621553959
total_solids_b,0.00996559855085744
w_solids_total,0.009244253402690446
ox_P2O5,0.008962925467143478
water_total_b,0.008859413568062295
cement_share,0.008816545337392845
ox_Al2O3,0.00847369129821721
pw_other_powder,0.008265479213985382
ox_TiO2,0.0077951488480411625
alkali_eq,0.00755965658560757
pw_limestone_powder,0.00739465873155109
