feature,gain_share
sand_b,0.10428655761290119
total_solids_b,0.07208948508166922
agg_wabs_pct,0.04451531836524971
ox_MgO,0.043907411598501846
d50_um,0.0405216311532153
curing_temp_C,0.03961291400880342
ox_Fe2O3,0.03533946999752838
agg_fm,0.035031911775778406
al_si,0.03455464843923214
blaine_m2kg,0.033746553563315566
bet_m2g,0.028428715790142306
ox_Al2O3,0.025741316823659894
ox_P2O5,0.02558829041760802
fibre_diameter_um,0.021884179377341818
act_ms_eff,0.02158832304350242
curing_rh_pct,0.020908127101112856
ox_K2O,0.019380459796901332
ox_SO3,0.01863482355716049
ox_TiO2,0.016749627665825106
alkali_eq,0.01612556508665406
agg_sg,0.01611221829099393
cement_share,0.015579065225464246
ox_LOI,0.014996630776933787
filler_frac,0.013165191817976587
w_solids_total,0.013064382724829555
ox_Na2O,0.01212238845853342
water_b,0.012080293266263515
agg_dmax_mm,0.011853142495735354
fibre_emod_GPa,0.011646271771581099
ox_SiO2,0.011599526435738382
