feature,gain_share
bet_m2g,0.2163880702292808
pw_other_powder,0.14088229178999034
filler_frac,0.13704600158966274
water_b,0.06724252476880244
ox_TiO2,0.06516234239113196
adx_vma_pct,0.029146250633857843
vma_solid_pct,0.025230072539462925
d50_um,0.023822704377695274
sand_b,0.02261721948466768
ox_LOI,0.020684278051118842
ox_P2O5,0.020398283196091604
al_si,0.019811132287875042
adx_sp_other_pct,0.017322366938158567
cement_share,0.01601699737991252
adx_sp_pce_pct,0.014410577818664269
agg_sg,0.014392196495059583
sg_powder,0.013641407884423133
fibre_total_vol_pct,0.010773640430832936
year,0.010561226433388466
ox_CaO,0.010263531622334978
log_d50_um,0.009347182823803613
blaine_m2kg,0.0078976356352823
curing_rh_pct,0.007847999345952414
agg_other_agg,0.007707513579241913
ox_SO3,0.00669571920071815
ox_Fe2O3,0.006669493524494579
adx_accelerator_pct,0.006519505359192992
sp_solid_pct,0.005793374651800318
ox_MgO,0.005283501678065191
agg_wabs_pct,0.0050343362832371485
