feature,gain_share
agg_wabs_pct,0.27878529378847566
al_si,0.14962773476776456
water_b,0.061940902386871645
agg_lightweight_agg,0.061281909573790656
sand_b,0.04671324343436182
ox_Al2O3,0.04033070173982576
bet_m2g,0.03800102535981221
mode_parts,0.03684703656335808
total_solids_b,0.03526024686456782
agg_sg,0.030304148736299358
pw_opc,0.021899503847444268
log_water_b,0.021324397534197095
act_naoh,0.02062902999101119
curing_temp_C,0.019352458683033254
ox_K2O,0.015129241760542174
water_total_b,0.01355262801306227
ox_MgO,0.009698547533664085
act_solids_b,0.009269535493110964
agg_dmax_mm,0.00911218212775958
d50_um,0.007194907681950322
ox_SO3,0.006373380101941815
cement_share,0.005653205667535783
ox_Na2O,0.005619441099014547
ox_Fe2O3,0.003969774010296264
alkali_eq,0.0038776970009926277
age_d,0.0036166529206138926
agg_fm,0.003307166477823416
chem_coverage,0.0031556082870937722
curing_rh_pct,0.0031060946466642636
year,0.0029856086656892726
