feature,gain_share
total_solids_b,0.2103585824016666
fibre_total_mass_b,0.16555713873966904
fibre_total_vol_pct,0.1274867996677708
sand_b,0.0884797889208703
al_si,0.08455279521737581
ox_SiO2,0.057953194869842475
ox_Fe2O3,0.02404862850477424
hydraulic_modulus,0.021977016421507175
agg_wabs_pct,0.021629210001596854
fib_pp_vol,0.019888972680220357
log_water_b,0.019822967724769047
water_b,0.01897428716844822
fibre_diameter_um,0.018351191588916887
sg_powder,0.018003990151086408
age_d,0.01232042578044361
ox_TiO2,0.009942346331141156
fibre_length_mm,0.009928800338235613
agg_fm,0.009207054011421908
bet_m2g,0.00825514664355211
agg_dmax_mm,0.006164629576130292
adx_other_admix_pct,0.005759548900847655
agg_sg,0.005038798456737838
agg_natural_sand,0.004953638017926825
scm_frac,0.004016039885265901
fibre_tensile_MPa,0.0037501935957795908
agg_other_agg,0.003741832251570946
sp_solid_pct,0.0027319048344355374
fibre_aspect,0.002515906365805334
vma_solid_pct,0.0023890970329805412
ox_LOI,0.002342485749213196
