feature,gain_share
adx_accelerator_pct,0.1119130848666085
hydraulic_modulus,0.09246306152045371
pw_csa,0.09176818708491648
al_si,0.06714012927217242
adx_retarder_pct,0.04820791335247828
pw_opc,0.04029203311852573
ox_Al2O3,0.03660037579743309
ox_SO3,0.03537584959222268
ox_CaO,0.026742935509329973
curing_rh_pct,0.025614472281347243
ca_si,0.021574764764644063
act_solids_b,0.021409493334805463
ox_MgO,0.01699927795202852
water_b,0.016492514717670503
ox_Fe2O3,0.01384508082290376
act_total_b,0.013599206420318187
ox_SiO2,0.013502493760415367
blaine_m2kg,0.01331144813967253
act_na2o_pct,0.012438832309674457
phys_imputed_frac,0.012401464466005012
ox_TiO2,0.011728674266670536
bet_m2g,0.011543986493213556
d50_um,0.011342275274686656
agg_fm,0.011311212537377663
alkali_eq,0.011047005702716573
ox_K2O,0.009887602880358512
total_solids_b,0.00977570205980968
sp_solid_pct,0.00930002207470435
ox_P2O5,0.009105260442392026
w_solids_total,0.009006943260995392
