feature,gain_share
adx_accelerator_pct,0.138436200382055
ox_SO3,0.1275824813970574
water_total_b,0.09932564668390381
adx_retarder_pct,0.051199746718090376
pw_other_powder,0.037947293560201927
ox_CaO,0.036016923553753556
ox_Na2O,0.034200674842251116
agg_dmax_mm,0.03045283486841277
al_si,0.028494352253747673
hydraulic_modulus,0.025452712567763103
ox_Fe2O3,0.025136960127902497
ox_SiO2,0.0203809423497666
blaine_m2kg,0.020052587221586878
ox_P2O5,0.01886887726677938
bet_m2g,0.018805456165036573
pw_fly_ash_f,0.01686700818422443
cement_share,0.016443644871998783
fibre_total_vol_pct,0.015182976921235223
sp_solid_pct,0.014697272308980446
adx_other_admix_pct,0.014667081585912472
pw_opc,0.01462602818171847
agg_fm,0.014560196818720204
alkali_eq,0.014356416553494445
ox_LOI,0.012329988462610353
ox_MgO,0.01221014547737063
ox_Al2O3,0.011982707588865266
agg_sg,0.011947012849537003
phys_coverage,0.010067328941117285
sg_powder,0.00940196231939075
sand_b,0.00847710429607739
