feature,gain_share
adx_sp_pce_pct,0.0729774032297286
year,0.06238389234640447
water_b,0.052177550915766556
sand_b,0.03709159571596436
is_3dcp,0.035170994756976826
d50_um,0.03167177436488091
ox_LOI,0.031631263111261694
water_total_b,0.03143739390323281
blaine_m2kg,0.03114383297926731
total_solids_b,0.029853651668903955
agg_sg,0.029540997298119775
w_solids_total,0.028013037126932254
sg_powder,0.027219335238247627
ox_K2O,0.02667461941923459
agg_fm,0.026556666402458396
ox_P2O5,0.02463098440742791
sp_solid_pct,0.024363774211024196
ca_si,0.020031364272162667
ox_MgO,0.019943776341006407
ox_Na2O,0.018572796730345557
ox_CaO,0.018186403362217423
bet_m2g,0.016774584672288345
ox_SO3,0.016599103397272268
log_water_b,0.015330312056714968
agg_wabs_pct,0.014061230258332152
curing_temp_C,0.013611044804543941
chem_coverage,0.013045410559301526
pw_ggbfs,0.011396812060264659
fibre_length_mm,0.010793200967683542
ox_TiO2,0.010505636911067978
