feature,gain_share
agg_sg,0.11375479142452123
ox_LOI,0.09274997763050029
water_b,0.09157554373801059
year,0.09138484021821858
binder_sum_deviates,0.05011109055773196
ox_P2O5,0.03913097505203853
ox_MgO,0.038658774364773746
adx_sp_pce_pct,0.03274996224832015
ca_si,0.030359481923102068
blaine_m2kg,0.029013047051218436
pw_silica_fume,0.028669876303987235
bet_m2g,0.028327055274953147
log_water_b,0.020193503651340476
ox_K2O,0.020158561738049145
chem_coverage,0.01785888833148561
ox_CaO,0.017689365472806425
ox_Na2O,0.01582848709562098
sp_solid_pct,0.015126578889068033
agg_wabs_pct,0.014303127347402937
sand_b,0.013743130383386792
total_solids_b,0.013548478842344424
al_si,0.013477645300016423
hydraulic_modulus,0.012402334740795978
chem_imputed_frac,0.012013672029926262
agg_dmax_mm,0.011881999483868744
ox_Al2O3,0.0105347386340519
ox_Fe2O3,0.01014974301100107
pw_ggbfs,0.009637534823667863
adx_other_admix_pct,0.009282971786540476
alkali_eq,0.008479466097949914
