feature,gain_share
sand_b,0.2590040814770366
total_solids_b,0.1006368398333574
ca_si,0.0940876654342423
water_total_b,0.06876002622768769
system_type,0.056904434942774085
water_b,0.04119985310350601
agg_dmax_mm,0.02352695047596852
agg_sg,0.02134643286678639
ox_Al2O3,0.018095460468080946
is_3dcp,0.0169333266784093
w_solids_total,0.01668922259573872
al_si,0.01571033221982485
ox_CaO,0.014455959747979016
adx_vma_pct,0.012601610356274679
agg_fm,0.01252681113091381
fibre_diameter_um,0.012316181534362432
pw_fly_ash_f,0.011568535887113724
ox_SiO2,0.011347283186560038
ox_SO3,0.011112975525918195
ox_TiO2,0.01108880302961651
log_water_b,0.010163327102243507
blaine_m2kg,0.00987637277407175
ox_P2O5,0.009520178848812937
alkali_eq,0.009425256609290542
vma_solid_pct,0.00926820888665186
ox_LOI,0.009248328275756508
fibre_total_vol_pct,0.009113170534717314
bet_m2g,0.007447736191082308
year,0.007174300084394524
ox_K2O,0.007143449886017891
