feature,gain_share
agg_fm,0.3939492338303273
agg_dmax_mm,0.08604992817443163
water_total_b,0.036225875720539355
ox_Al2O3,0.0357388627812597
log_water_b,0.03570581102025983
total_solids_b,0.0330290080964841
sand_b,0.03202995177250244
ox_LOI,0.03195340833257671
al_si,0.029929426359898165
pw_opc,0.028367068826221833
bet_m2g,0.025671662361536934
water_b,0.024881914735096496
ox_Na2O,0.021716135320832018
ox_K2O,0.018774914637055145
ox_SO3,0.01564609240061086
year,0.015391514775083574
w_solids_total,0.01380721210922165
mode_parts,0.011663940087720896
adx_sp_pce_pct,0.011474746202480946
vma_solid_pct,0.0107191836693391
ca_si,0.010460130843104421
adx_vma_pct,0.009284619017330882
blaine_m2kg,0.00884813462955225
curing_rh_pct,0.007060985990004411
d50_um,0.00700884175753956
ox_CaO,0.005445287982545842
alkali_eq,0.004950958336410875
phys_imputed_frac,0.004928902212762848
curing_temp_C,0.0038216102293458657
ox_P2O5,0.0028520776343726544
