feature,gain_share
pw_lime,0.11853451068074711
agg_wabs_pct,0.11199093805617039
sand_b,0.10863505008493544
water_total_b,0.08139405096733505
water_b,0.054311913620441694
w_solids_total,0.03260786497440335
ox_LOI,0.027207293013229467
alkali_eq,0.024819967582333166
ox_P2O5,0.022641585535514923
blaine_m2kg,0.021677942101298715
filler_frac,0.02118552723568421
total_solids_b,0.020474197172457645
sg_powder,0.020011539467355458
age_d,0.019402470597532948
system_type,0.018713046344268302
ox_SO3,0.018382672248217966
year,0.017550457663561995
pw_silica_fume,0.01619374456378151
ox_Al2O3,0.015330121219264008
ox_K2O,0.015038239269643507
d50_um,0.014585166709956326
ox_MgO,0.014092374409787665
ox_TiO2,0.012311631300066714
agg_fm,0.011756603194760061
ca_si,0.01162622398327451
ox_Fe2O3,0.01121666803950861
bet_m2g,0.011069881790596087
log_water_b,0.008939209405435558
is_3dcp,0.008831122907067125
agg_sg,0.0083343910980643
