feature,gain_share
pw_other_powder,0.10072896681617516
adx_vma_pct,0.1005836669703385
water_b,0.09546076154221168
agg_sg,0.08793511348479839
ox_P2O5,0.053783565772622555
age_d,0.05233605842529909
ca_si,0.03579401453569781
ox_K2O,0.034372379088021696
bet_m2g,0.033845614613361885
alkali_eq,0.032564132938479914
sand_b,0.03184694284985349
ox_MgO,0.031272021645016676
sg_powder,0.024463039871312438
vma_solid_pct,0.020405040040884292
blaine_m2kg,0.02026062000369658
ox_TiO2,0.020063965684518095
log_age,0.019567104843265133
fibre_total_mass_b,0.01813734786919974
curing_temp_C,0.016387574312500933
ox_Fe2O3,0.015352216429483211
pw_ggbfs,0.013421554724595035
year,0.012851871058897953
total_solids_b,0.01220101905243608
pw_opc,0.011716798808818315
agg_fm,0.01166876185162551
curing_rh_pct,0.009394729702311554
ox_CaO,0.00936420076722145
agg_wabs_pct,0.008310091399210516
phys_coverage,0.007881040598244345
sp_solid_pct,0.007491030859795421
