feature,gain_share
water_b,0.4057180704321854
ox_LOI,0.16968486660270152
log_water_b,0.06624708831428065
year,0.0362015837810131
sand_b,0.02235280801310435
mode_parts,0.020355057028326927
agg_sg,0.01988823577955851
bet_m2g,0.01938861287871422
sp_solid_pct,0.016476016880503222
curing_temp_C,0.015264398379041743
age_d,0.015240033586379525
total_solids_b,0.014873428525026683
agg_fm,0.014658387098677046
ox_TiO2,0.012626401131113883
ox_CaO,0.011594370056513256
ox_Na2O,0.011567836905341612
cement_share,0.010134500416602263
blaine_m2kg,0.010053338154916458
al_si,0.00945832096938631
ox_SiO2,0.006237783440909157
adx_vma_pct,0.006013163623171894
ca_si,0.005873189409187336
d50_um,0.005164940072120652
agg_lightweight_agg,0.0050526945514889334
pw_opc,0.0050354001719656585
agg_dmax_mm,0.004720794014650549
ox_MgO,0.004685136916949792
adx_other_admix_pct,0.004579971777152745
curing_type,0.00449691091734042
ox_P2O5,0.004375521890927587
