feature,gain_share
water_b,0.3825528100143369
ox_K2O,0.16984334572783547
log_water_b,0.1152509226089119
ox_LOI,0.09664105264020885
ox_MgO,0.06699326422831595
ox_SO3,0.024785828853771976
water_total_b,0.02365832209966534
agg_natural_sand,0.018129415843439915
ox_Fe2O3,0.01713413963953387
agg_sg,0.016905403687770094
al_si,0.016053819218506394
agg_fm,0.012848815511412552
ox_TiO2,0.012825313715982273
ox_Na2O,0.010992927563663758
pw_silica_fume,0.008708838463169822
chem_imputed_frac,0.00667578018347498
pw_quartz_powder,0.0
pw_limestone_powder,0.0
pw_calcined_clay,0.0
pw_cement_other,0.0
pw_csa,0.0
pw_cac,0.0
pw_opc,0.0
pw_metakaolin,0.0
pw_fly_ash_c,0.0
pw_fly_ash_f,0.0
pw_ggbfs,0.0
pw_inert_filler_other,0.0
cement_share,0.0
scm_frac,0.0
