feature,gain_share
is_3dcp,0.24499224257004473
rest_time_s,0.0771821518974946
ox_LOI,0.06967780039572667
system_type,0.05242428768146873
agg_fm,0.034547574324819315
adx_vma_pct,0.032875412806696716
adx_sp_pce_pct,0.02968870929923195
adx_accelerator_pct,0.01996835959869934
al_si,0.0178733223441654
ox_SO3,0.016848790141249473
agg_sg,0.016697559060636392
sand_b,0.016550447054390665
chem_coverage,0.015933025729447735
year,0.015757721270528897
water_b,0.015647317100160905
ox_MgO,0.015279482935949216
curing_rh_pct,0.015100093216218014
bet_m2g,0.01415726922399061
pw_ggbfs,0.013632583546981228
fibre_tensile_MPa,0.012814194618675867
cement_share,0.012078469071382913
water_total_b,0.011296674310106815
ox_P2O5,0.011210247374965876
total_solids_b,0.010932745147693355
scm_frac,0.010097325883275372
d50_um,0.009844597797045647
curing_temp_C,0.009254901488618213
ox_CaO,0.009236297949260655
pw_other_powder,0.008903768032145053
sp_solid_pct,0.00886015854883856
