feature,gain_share
ox_LOI,0.36745677863256154
adx_vma_pct,0.09668903827475746
ox_P2O5,0.0777521958241932
scm_frac,0.06936339938033616
ox_MgO,0.056364765870010596
sg_powder,0.04424308752559972
sand_b,0.03687667510835896
rest_time_s,0.03588782191653741
cement_share,0.029120656432658033
pw_opc,0.016791594712340787
log_water_b,0.015221684717866479
water_b,0.014481997470436537
ox_Fe2O3,0.014313976244864626
al_si,0.013148543417976374
vma_solid_pct,0.01214088829811909
pw_ggbfs,0.011363268330106141
ox_SO3,0.011198878843875564
fibre_tensile_MPa,0.007728575425295672
chem_coverage,0.007260857306644636
ox_SiO2,0.007258002466835077
adx_sp_pce_pct,0.007115471644247537
cement_share_proxy,0.007047627795929065
ox_Na2O,0.006546127102488088
fibre_length_mm,0.004667066780519655
bet_m2g,0.004169369467325844
sp_solid_pct,0.004054516109275798
ox_K2O,0.002924418289545298
fibre_aspect,0.002661863657751854
mode_parts,0.0025878109374967216
fibre_diameter_um,0.0024663258357701177
