feature,gain_share
is_3dcp,0.16230348161260313
al_si,0.10598448131410683
water_b,0.07673779827391855
sand_b,0.0743530316581629
year,0.06212885242126705
system_type,0.051156294998476286
ox_K2O,0.03913382536803631
total_solids_b,0.0375270435489566
chem_coverage,0.03451962157079522
ox_Na2O,0.03325392177689804
agg_wabs_pct,0.03217826031446121
log_water_b,0.028277788839342594
pw_opc,0.020902801360096698
sg_powder,0.01654349691575925
ox_CaO,0.01572597764136223
filler_frac,0.014321153035343889
ox_SiO2,0.01419519220484738
ox_LOI,0.012843117359331942
ox_TiO2,0.011559450774711181
bet_m2g,0.010789727950874415
pw_ggbfs,0.009093418807287106
ox_Al2O3,0.00891532461539546
w_solids_total,0.008290281000905302
curing_temp_C,0.008226140813068291
ox_MgO,0.00817785071974063
adx_sp_pce_pct,0.00815264195928743
agg_fm,0.00806905666983059
phys_coverage,0.007795136758556717
ox_SO3,0.007226233099662181
act_total_b,0.006648326872907069
