feature,gain_share
total_solids_b,0.10762054770406701
al_si,0.10605927183160974
sand_b,0.07633532620694183
water_b,0.07517498409719219
chem_coverage,0.07004447334547374
bet_m2g,0.045824132038534214
ox_SiO2,0.04559484361297028
pw_ggbfs,0.035255677887316005
hydraulic_modulus,0.0294321930301309
log_water_b,0.029058807080779354
water_total_b,0.026097208564620993
ox_K2O,0.025473927004372916
ox_Na2O,0.025056215592110045
ox_MgO,0.020560421982204004
agg_fm,0.019129945846337117
chem_imputed_frac,0.018003897873755226
agg_wabs_pct,0.017441039361232438
ca_si,0.017087288890749727
curing_temp_C,0.015401453265053435
pw_fly_ash_f,0.015113725437529486
system_type,0.014949350748921685
filler_frac,0.014628436577803914
sp_solid_pct,0.014002841165873373
pw_opc,0.013883550987355425
alkali_eq,0.01313658478444054
ox_Al2O3,0.013122237049961443
w_solids_total,0.011946381565866694
ox_CaO,0.011770108525358083
blaine_m2kg,0.011396003947070544
agg_sg,0.010108400365594943
