feature,gain_share
pw_other_powder,0.34977226221618996
agg_wabs_pct,0.15478423314644824
water_b,0.08977446771701822
water_total_b,0.05346411383676397
sand_b,0.03330610908894362
sg_powder,0.031050164339630846
ox_LOI,0.02744753935752065
ox_CaO,0.02650912081754609
system_type,0.02400528211353763
agg_fm,0.02171097568116139
ox_Fe2O3,0.019869206045483194
log_water_b,0.019827752446452473
filler_frac,0.014519626686370546
w_solids_total,0.01263452955968316
chem_coverage,0.009418501901690555
ox_K2O,0.009356494796412531
ox_P2O5,0.009109283058051537
curing_rh_pct,0.008465823892472229
alkali_eq,0.008386233049580947
agg_sg,0.007041982313907443
sp_solid_pct,0.006383674826907304
total_solids_b,0.005809936628674231
blaine_m2kg,0.005643019080390162
ox_Na2O,0.0055441471331229225
bet_m2g,0.0046165471540442855
hydraulic_modulus,0.004143566099627387
ox_SO3,0.003551634093794811
scm_frac,0.003170230582113452
phys_imputed_frac,0.0028245873399422913
year,0.002318836248820396
