feature,gain_share
agg_fm,0.3418409566829545
pw_opc,0.17623246916298496
agg_sg,0.06205170618461778
water_b,0.060123332370423485
water_total_b,0.04579908849145622
system_type,0.02625700725829053
total_solids_b,0.025220353430154992
ox_Na2O,0.02495218027761422
ox_SiO2,0.02451136878721999
log_water_b,0.021792113409595696
bet_m2g,0.018284584157264916
blaine_m2kg,0.014064877720433164
adx_sp_pce_pct,0.013198222880677027
agg_wabs_pct,0.012102098007975138
ox_P2O5,0.009380715088557744
pw_metakaolin,0.009189829963897196
ox_MgO,0.009011648109428935
adx_vma_pct,0.00897367236407886
w_solids_total,0.008689771372576227
ox_SO3,0.008270565467632943
adx_other_admix_pct,0.006117941233561132
ca_si,0.006100162201337867
al_si,0.005612505584220135
chem_coverage,0.005604280953286585
ox_TiO2,0.00551471699860049
hydraulic_modulus,0.005166318685607641
ox_K2O,0.0051008480954885405
d50_um,0.005097331478992487
ox_Al2O3,0.004841972687062864
alkali_eq,0.004658843474484346
