n,rmse,mae,r2,medape,spearman,slice,level,coverage
945,1057.3190546895412,204.97101205481457,-0.033408139815996885,0.993836764347445,0.27999046387537146,age_d,0.042,0.8253968253968254
961,1527.1331045247084,353.88031665302725,-0.04555972114892293,0.9610257886800815,0.3171058617731919,age_d,0.125,0.7585848074921956
980,1842.2465106045506,468.4728049883017,-0.04978098090632033,0.9222039610370512,0.3613825815248774,age_d,0.25,0.7357142857142858
1051,2249.6542314163607,618.1268391447504,-0.053592353014431104,0.8553866529777819,0.421753891175861,age_d,0.5,0.7611798287345385
1134,2921.2677975995466,768.9697434679864,-0.04031903573959106,0.7633416711389417,0.4569771303313314,age_d,1.0,0.7777777777777778
1106,3335.817279284646,795.3289089681234,-0.02710799981013512,0.6837309116012716,0.4643489468066764,age_d,2.0,0.7974683544303798
1159,3394.118094133727,818.041049865363,-0.020556998777950808,0.6714130518380793,0.4409106273245235,age_d,3.0,0.8024158757549612
1052,3398.7186977423744,806.2511089097404,0.013722909728985933,0.5835558854811667,0.46734706971553064,age_d,7.0,0.8326996197718631
614,885.8436024685612,526.3964226729819,0.3361673390054769,0.5749735366497616,0.49712316599486067,age_d,14.0,0.8631921824104235
542,879.5144982905337,538.7964069741498,0.4036945611799517,0.5405695016583363,0.5183518730886713,age_d,21.0,0.8634686346863468
603,911.8010484590474,548.2057807402543,0.37983483950555375,0.5190009554496368,0.5123839164755638,age_d,28.0,0.8540630182421227
277,833.8194162289001,477.1475846531682,0.21615748507805177,0.4700186175021778,0.48027511914537285,age_d,56.0,0.8231046931407943
218,933.0299555688761,476.4794596774407,0.10039873378393505,0.5172566548598696,0.40150806549469825,age_d,90.0,0.8256880733944955
104,1735.3638019447944,827.9339555720452,-0.048871159670499376,0.4822251841431819,0.3389077267494398,age_d,180.0,0.8076923076923077
289,1254.2672343456086,706.3840766059237,0.09392905255544814,0.6046247293674797,0.34387320093973406,comparability_group,autogenous_astm_c1698,0.7993079584775087
353,1584.2453193724568,561.9186478110238,-0.018195169516993515,0.4898995561196327,0.4698331586724772,comparability_group,autogenous_gauge,0.7592067988668555
39,609.7443476339687,443.4084692642522,-9.160226033818303,1.2077903622183659,-0.17282196035925926,comparability_group,drying_prism,0.9743589743589743
10179,2433.582389810478,600.7888765348819,0.004882803095640154,0.7418309568580256,0.609613266448938,comparability_group,nan,0.8005698005698005
2679,1730.4907402192307,369.57709497701296,-0.02526764303754181,0.6813679992370693,0.6264208703634789,binder_family,opc,0.809257185516984
4091,1626.6222266346404,422.67892061990335,-0.028435063729935983,0.7092628836466165,0.5716621262619304,binder_family,blended,0.7934490344659008
151,595.0621099470786,441.5228510319434,-0.11498021859087149,0.7000661246860822,0.619583096258293,binder_family,lc3,0.9006622516556292
3080,3678.5213083651383,1080.138119777774,-0.023781287895827008,0.7505522040088654,0.5687390182632124,binder_family,aam,0.7922077922077922
28,762.3170328727751,568.1327799997161,-0.8483617999898114,0.7539291363265272,0.4746507496153257,binder_family,csa,1.0
130,123.34114366507092,109.23653694860141,-1.0232886400032721,2.3695699593854664,0.9301316528827701,binder_family,mgo,0.9
48,1059.0717464826896,798.2372661798214,-0.18574848040698333,0.6316939378483841,0.9349536895665981,binder_family,sulfate,1.0
660,1223.4342306417568,539.3425525782535,0.13373630895201105,0.8560026702576293,0.6672168832278966,binder_family,other_binder,0.7742424242424243
3128,2518.17398638127,896.2751525124506,-0.03383985920041699,0.7176910385994937,0.5771375441732554,system_type,paste,0.829923273657289
7740,2324.054633318604,482.61619334988364,0.00861847641561031,0.7290140366245763,0.5995474043371661,system_type,mortar,0.7878552971576227
10772,2391.5607548454454,602.9149894942419,0.005957413645195642,0.7231340824233088,0.6154038212214807,is_3dcp,0,0.8018937987374675
96,555.8690106398865,462.47652869865396,-1.8553088922514975,0.7652776399484769,-0.2628233426607794,is_3dcp,1,0.5833333333333334
1565,3211.052775409702,826.4498350100898,-0.04567986781080968,0.8801198052928957,0.4820760648442762,curing_type,water,0.7386581469648562
4302,3043.611935717017,675.8800928389534,-0.0071957425036921485,0.7286404989947699,0.5668308120516684,curing_type,moist,0.7903300790330079
2749,1360.170421102543,618.3966142883969,0.07320609423437097,0.7709990918160619,0.6493183129309643,curing_type,sealed,0.7955620225536558
517,558.8765041252343,338.14756757362585,0.6570621758950588,0.6607128231668535,0.8107991483181503,curing_type,ambient,0.8239845261121856
218,510.97068545342387,300.2457019516533,-7.712707112631968,0.633924229218944,0.4794702677558546,curing_type,heat,0.8669724770642202
1517,479.08162854265083,262.17515772132435,0.5594961753083956,0.581412739402444,0.7444303099070793,curing_type,unknown,0.8806855636123929
