n,rmse,mae,r2,medape,spearman,slice,level,coverage
23,2.819996757778729,2.176040260687421,-0.36254311955220087,0.4847242852526106,0.1356781946475553,age_d,0.25,0.8695652173913043
22,4.7027316164866955,4.336910454962854,-1.192256957684576,0.6724467860538681,-0.19698474219865628,age_d,0.5,0.6363636363636364
205,12.885330827834649,10.113140221107859,0.0009762155815050688,0.4129707729819111,0.2954394818340447,age_d,1.0,0.8146341463414634
116,12.55145321610888,9.504151976338694,0.10835231374745447,0.313406323905545,0.39037047049700524,age_d,2.0,0.896551724137931
284,15.608288423341092,11.869227817769506,-0.345502333396587,0.34796890690590576,0.10800945480696734,age_d,3.0,0.8450704225352113
518,19.113302332011145,14.931790324719529,0.009035187938684519,0.3657514970795475,0.3386355356033292,age_d,7.0,0.8011583011583011
226,18.3354815564506,13.6744343167015,0.2181955697199932,0.259805026906383,0.4826698428531146,age_d,14.0,0.7079646017699115
167,16.605180617614337,12.46253514365814,0.2739780578823331,0.2104212024582037,0.47215141539034383,age_d,21.0,0.7065868263473054
1127,21.266582613990558,15.736574450127893,0.2489850603789162,0.2876085585913555,0.5297438319228815,age_d,28.0,0.8163265306122449
61,20.497964055373018,15.151232952571867,0.39559088818636967,0.2474105915659527,0.5350578091877586,age_d,56.0,0.639344262295082
59,19.052172551599757,12.762252895066473,0.439690466898611,0.27522538708904065,0.5832080064327433,age_d,90.0,0.8135593220338984
480,22.9805288749485,17.33427367493357,0.13686570516256247,0.32531926850934134,0.4436995944576477,comparability_group,comp_cube50,0.75625
705,20.439406715870486,15.315091087508222,0.24881162153556857,0.34280407494720855,0.5756817299040308,comparability_group,comp_cube_other,0.851063829787234
195,18.459942560675046,14.374380677777541,0.5632845460345337,0.28044007231541945,0.6399419545569466,comparability_group,comp_prism40,0.841025641025641
56,14.94730352889716,11.478313006487351,0.4519363364788528,0.3178742825172475,0.6572455285263052,comparability_group,comp_cyl_small,0.875
128,17.499995463439706,13.181798709909067,0.26287570871310495,0.4385491946487836,0.5273347598033487,comparability_group,comp_prism_other,0.8359375
131,18.266852969583677,14.552357296191431,0.07502641803124122,0.28650158726246444,0.2880260367633847,comparability_group,comp_cube100,0.9312977099236641
39,26.707285653489727,16.34514412861506,0.3719089226345266,0.35786144877119896,0.8240117437289904,comparability_group,comp_cube70,0.7948717948717948
1143,15.214484895584082,11.110298698051407,0.36832443990997643,0.27660344326026304,0.5970559575948644,comparability_group,unknown,0.7567804024496938
917,19.20483854400631,14.153561025498988,0.2887050007593285,0.320396300077739,0.644322185389387,binder_family,opc,0.8211559432933478
1307,19.46769470930687,14.354202862948364,0.3753326257488726,0.29193372287122077,0.586885170941762,binder_family,blended,0.7781178270849273
106,6.174655325501414,5.134578277344245,0.7243875962498488,0.1841939694836508,0.8362484091344479,binder_family,lc3,0.9528301886792453
121,26.643878674963773,24.570131704237397,-1.3947300063522166,0.9168757560491455,-0.2140344914476985,binder_family,aam,0.6198347107438017
82,14.196535535640605,11.236039734240613,0.4535814054165843,0.3682065215774002,0.7271584322872883,binder_family,csa,0.7439024390243902
167,9.701873636331399,7.009798089172062,0.23229340321329217,0.2104327006889206,0.5847720185797769,binder_family,mgo,0.9580838323353293
42,21.29010711242096,17.098049494416795,-0.13468537256585655,0.4758281451637634,0.4811798553441101,binder_family,sulfate,0.8333333333333334
146,15.054315235062335,10.915575138774589,0.3563845462330776,0.26105171165755636,0.6097877785433863,binder_family,other_binder,0.7397260273972602
394,20.585352131929305,14.058928920737529,0.11604134480207284,0.2762825708450236,0.5720507323824593,system_type,paste,0.7791878172588832
2496,18.356738242703045,13.67769335506542,0.3740048039246946,0.3120145207246302,0.5749618711350923,system_type,mortar,0.8032852564102564
2890,18.676233129995623,13.729668030800646,0.34227026775142166,0.3069112517811319,0.5733143136931923,is_3dcp,1,0.8
249,22.310747539175807,16.268325315811037,0.4909002403756825,0.24215284792551398,0.7502219248813284,curing_type,water,0.7550200803212851
559,14.52280545826107,11.245427175386993,0.3724533517176406,0.28798337665351886,0.6202125948198934,curing_type,moist,0.8354203935599285
142,24.42912700879221,18.292867332600505,0.03105343910711933,0.3272705669175099,0.5029307276423046,curing_type,sealed,0.6126760563380281
322,15.183003848892918,10.828223228228067,0.5761834271189243,0.32314732887198483,0.7590668921523063,curing_type,ambient,0.8012422360248447
47,9.174760404629371,6.894745137476791,0.6809133748220751,0.2990163437543228,0.879990990782276,curing_type,heat,0.9361702127659575
1571,19.5959271874224,14.597966742301386,0.13535183159430264,0.330130511941041,0.44406429305074246,curing_type,unknown,0.8071292170591979
