n,rmse,mae,r2,medape,spearman,slice,level,coverage
157,76.33384418729834,58.671813501148804,0.2324566112806743,0.3754280035548451,0.4752660266205958,age_d,1.0,0.7643312101910829
51,72.74488866831825,58.718819025914144,-0.10044131345222329,0.28719447032713846,0.1653723829724808,age_d,2.0,0.9019607843137255
188,70.18376593308918,55.23590739458367,0.17961120056615776,0.23973379152656873,0.42950628520372464,age_d,3.0,0.8085106382978723
20,58.409934831964414,46.16231579295277,-0.9351179208836808,0.2347081789477686,-0.2212260397746973,age_d,5.0,1.0
74,69.15151273641357,58.68555027155806,-0.03542211044235244,0.23263984837275847,0.23187680126197663,age_d,7.0,0.8108108108108109
26,102.96015499112539,90.84136147036611,-1.1726411001890917,0.2690198730090587,0.5404908911711434,age_d,28.0,0.46153846153846156
601,72.27052731040628,58.32268688374697,0.2576481036684922,0.2864427627781235,0.49725914541417265,comparability_group,calorimetry,0.8053244592346089
142,88.80063020119202,74.68258668261856,0.17950002630436368,0.30647735448987734,0.42797953453983745,binder_family,opc,0.8098591549295775
221,60.48194618015969,50.27737512722871,0.19731232509511287,0.2864427627781235,0.42431671653741115,binder_family,blended,0.8461538461538461
47,83.62830282232429,56.142231353576015,-0.13893155405679702,0.16706634498553938,0.2701566777381297,binder_family,lc3,0.851063829787234
97,66.54694963576536,58.23324334647043,-0.35514808477582727,0.35735884518402455,0.03974980515348225,binder_family,aam,0.6391752577319587
20,110.12777232226095,88.21149746868925,-1.204572227877549,0.30411441153133,-0.5373055086755504,binder_family,csa,0.6
72,84.37730775613306,61.095904518208926,0.2704836871887527,0.30593443576536206,0.7066967584692403,binder_family,other_binder,0.8194444444444444
498,78.639442254438,63.15715808234319,0.2422851819120373,0.32489892953982114,0.49058261238107925,system_type,paste,0.7911646586345381
119,58.81369266276867,46.71829235035514,0.2942562735675317,0.23223323135088297,0.5637646162722655,system_type,mortar,0.8319327731092437
606,74.89738668575211,59.57529026308218,0.2624943082046183,0.2863622132755515,0.505833161958999,is_3dcp,0,0.8003300330033003
57,51.72432315474696,40.7120711814641,0.4315217773380392,0.17054040233844134,0.667305161828997,curing_type,water,0.8596491228070176
175,69.29200366017383,57.35086350310334,0.07960577270657498,0.3614509423063438,0.41875524680201726,curing_type,moist,0.8628571428571429
127,74.20556640260358,55.87284920924346,0.23819175613054555,0.23223323135088297,0.5854085450018839,curing_type,sealed,0.84251968503937
25,78.68646402487616,67.13129273358769,-0.19842482546343554,0.3290600356318582,0.5648154873683314,curing_type,ambient,0.88
33,107.06900069606056,74.51745542020396,0.1102757752640775,0.2862816637729795,0.2485894821512367,curing_type,heat,0.7878787878787878
200,79.56711209220558,67.10771073766142,0.23912170872499117,0.3461435985199975,0.4567011395659171,curing_type,unknown,0.69
