rank,name,summary,p_feasible,p_min_targets,ad_max,feasible,pareto_rank,refined,compressive_strength_q50,compressive_strength_q10,compressive_strength_q90,compressive_strength_p,compressive_strength_ad,static_yield_stress_q50,static_yield_stress_q10,static_yield_stress_q90,static_yield_stress_p,static_yield_stress_ad,flow_table_spread_q50,flow_table_spread_q10,flow_table_spread_q90,flow_table_spread_p,flow_table_spread_ad,powder_kg_m3,cost_per_kg_powder,co2_per_kg_powder,cost_per_m3,co2_per_m3,clinker_fraction,co2_per_mpa,cost_per_mpa,analogue_doi,analogue_distance
1,cand_01,"portland_cement 0.50 / silica_fume 0.13 / fly_ash_class_F 0.37; w/b 0.345; s/b 1.76; superplasticiser_pce 0.25%, vma_cellulose 0.09%",0.08217610652202559,0.2463511659113795,0.4645447357840641,False,0,True,50.28665299092449,30.67004368786705,77.65014445521176,0.7492165050764537,0.4645447357840641,170.2972679467677,3.8370830080307328,5370.658447486854,0.2463511659113795,0.3998313063581103,180.80889922566763,121.3696667323122,252.23927243454446,0.4452291620622232,0.385362621344344,705.3752617014046,0.2012407061477144,0.4467122203184854,141.9502157639195,315.0997493123671,0.5,10.273860465253245,4.628301713834025,10.1016/j.conbuildmat.2010.04.018,0.4993586826423133
2,cand_02,"portland_cement 0.50 / limestone_powder 0.18 / fly_ash_class_F 0.32; w/b 0.315; s/b 1.79; superplasticiser_pce 0.47%, vma_cellulose 0.04%",0.06254196644327328,0.22787955569625118,0.4709057604061509,False,1,True,44.75599235797439,21.39609494065278,69.58960156292781,0.6029226521155351,0.4709057604061509,146.19656635467118,5.814566482775694,5948.470906103999,0.22787955569625118,0.27065238768809946,181.7822368136342,124.00909968442717,250.91566986154152,0.455202425337161,0.3780813331091887,720.8059305339641,0.13143838183465467,0.4523030974639561,94.74156512620675,326.02275505090114,0.5,15.237488707878878,4.427983956371258,10.3390/ma18225123,0.20632610904388587
3,cand_03,"portland_cement 0.55 / silica_fume 0.15 / limestone_powder 0.30; w/b 0.346; s/b 1.80; superplasticiser_pce 0.21%, vma_cellulose 0.06%",0.06085732704013724,0.21483902427722135,0.783822746006327,False,2,True,44.41498471637268,30.399964021216327,81.60698805957156,0.6567877045619912,0.783822746006327,145.32407587688695,3.1299298502908703,6432.278634225946,0.21483902427722135,0.3891722847134756,187.07082688185926,123.358916324718,250.4248998219739,0.431295262994563,0.3519846895217946,709.6367121994101,0.21229277053813073,0.4937987284904074,150.6507437083829,350.4177061741819,0.55,11.526911871659557,4.955622434396395,10.1016/j.conbuildmat.2011.06.064,0.32707810043101787
4,cand_04,"portland_cement 0.61 / limestone_powder 0.25 / fly_ash_class_F 0.15; w/b 0.282; s/b 0.88; superplasticiser_pce 0.24%, vma_cellulose 0.03%",0.07572232094158614,0.27320657211305044,0.4955683961957052,False,7,False,45.91325675442648,23.129023869843923,85.49126878700997,0.6302836608610323,0.4955683961957052,197.88123845201932,3.9880518477089475,4608.924498979178,0.27320657211305044,0.12905625112207275,184.85890111629254,124.67892389111321,254.681451657421,0.4397407631509429,0.34586657428143236,1015.895400407334,0.11423704496528769,0.5364679696796562,116.05288853636156,544.9953428634238,0.6092453704215587,23.563266047470318,5.017630194401486,10.1016/j.cemconcomp.2024.105869,0.3338704414069615
5,cand_05,"portland_cement 0.71 / silica_fume 0.07 / limestone_powder 0.23; w/b 0.412; s/b 1.65; superplasticiser_pce 0.24%, vma_cellulose 0.01%",0.09717541915180651,0.2846926686734431,0.44330077063036105,False,7,False,42.01785222928955,37.693605447273825,64.49944840871288,0.7250863682026916,0.44330077063036105,167.56375188074614,1.67386791837313,4180.3132716580585,0.2846926686734431,0.20751834194595783,179.1759995844251,125.67358574692759,251.06125763013034,0.47075007594078394,0.2619983693598855,711.7141965961594,0.1731254753568217,0.6233626235907598,123.21585860390854,443.6560288369717,0.7082780009911706,11.770060825238964,3.268879618752949,10.1016/j.conbuildmat.2011.06.064,0.20610881836615108
6,cand_06,"portland_cement 0.70 / limestone_powder 0.30; w/b 0.325; s/b 1.79; superplasticiser_pce 0.29%, vma_cellulose 0.09%",0.06817070354446651,0.2494255559839531,0.501836427401737,False,7,True,43.73793581994218,25.447980356342033,80.60693970249687,0.6033053284074187,0.501836427401737,198.14856973200858,3.3959811324817935,5330.496353248444,0.2494255559839531,0.15324298949219578,184.54590986918652,124.1653253326354,246.5820937467043,0.4530223891150971,0.39658119398637126,731.9768014538844,0.14508750906616769,0.6203800926032897,106.20069081716487,454.1038358694206,0.7,17.84439588174434,4.173246337432746,10.1016/j.cemconcomp.2025.106439,0.10128786605171054
7,cand_07,"portland_cement 0.82 / limestone_powder 0.18; w/b 0.391; s/b 1.77; superplasticiser_pce 1.00%, vma_cellulose 0.04%",0.08453747073619529,0.27356989886861294,0.3432202113062933,False,8,False,46.79035770702538,29.31328743994288,76.55503888420654,0.6907300012228516,0.21817118752531645,153.03258697043196,1.7910134466554455,4483.785840441558,0.27356989886861294,0.24249880585721686,185.175831784142,124.00339896322598,247.71999705053167,0.4473759366053341,0.3432202113062933,701.6911326577705,0.17311001897683123,0.7321849854922169,121.46976529026085,513.7677117850469,0.821217487147078,17.52678585906324,4.143846558975289,10.1016/j.jclepro.2017.04.161,0.09802083695622893
8,cand_08,"portland_cement 0.69 / silica_fume 0.07 / limestone_powder 0.25; w/b 0.292; s/b 0.85; superplasticiser_pce 0.51%, vma_cellulose 0.04%",0.10454627984158127,0.2863205408127488,0.5498007891342692,False,8,False,69.31350473411862,39.37445631206832,93.68476942983838,0.8952197650624826,0.5498007891342692,215.7114611348036,3.8168824343038574,4269.189002547025,0.2863205408127488,0.19957123269080554,187.7370765061284,123.77927242065397,268.35799929234304,0.407874369723616,0.34287298570567654,1023.677216755441,0.1665261792861354,0.6059880154163012,170.46905572854865,620.3361250085125,0.6853264463444552,15.754785795439128,4.329432624477907,10.1016/j.conbuildmat.2011.06.064,0.3325978845628779
9,cand_09,"portland_cement 0.69 / silica_fume 0.13 / fly_ash_class_F 0.18; w/b 0.292; s/b 0.93; superplasticiser_pce 0.24%, vma_cellulose 0.09%",0.10342547347740756,0.2742987543078542,0.41560343913802666,False,8,False,65.3131643141463,33.621608294919696,99.30028119043833,0.8469927127694261,0.41560343913802666,211.6768522817387,3.7784652909627434,4610.831964206812,0.2742987543078542,0.3353580240144092,182.33954881891557,125.21014046848072,258.8724782266036,0.4451680719607003,0.31080842129537245,980.2596540922128,0.19904108512578664,0.6056112961145208,195.1119452555423,593.6563196435568,0.6943608323733012,17.656987566929082,5.80317108997502,10.1016/j.conbuildmat.2010.04.018,0.1167825638230069
10,cand_10,"portland_cement 0.80 / silica_fume 0.07 / limestone_powder 0.13; w/b 0.373; s/b 1.62; superplasticiser_pce 0.50%, vma_cellulose 0.30%",0.10770675125761327,0.27116888626290325,0.5355883543797548,False,8,False,49.68240729500711,38.74500043432204,79.03798593540829,0.8717078725228107,0.49435064519173216,203.68720137141034,1.4929927613137521,4683.377579445681,0.27116888626290325,0.29562770333080624,182.91194001543371,123.9223406817675,248.24997555413202,0.4556507620614807,0.5355883543797548,738.7856694521807,0.2161303842291822,0.7087859240515487,159.6740306017134,523.6408833987059,0.7998691743394981,13.51505684678846,4.121151859899506,10.1016/j.conbuildmat.2011.06.064,0.5999691095074097
