tier,score,doi,year,is_3dcp,mix,system_type,composition,target_distance,coverage,penalty,compressive_strength@1d,compressive_strength@7d,compressive_strength@28d,flow_table_spread,static_yield_stress,compressive_strength@2d,compressive_strength@3d,compressive_strength@14d,compressive_strength@21d,compressive_strength@33d,compressive_strength@56d,compressive_strength@90d,compressive_strength@180d
near,0.8337668263567466,10.3390/buildings13061476,2023,1,M1,mortar,"opc 1.00; w/b 0.35; s/b 1.00; sp_pce 0.10%, vma 0.10%",0.18578558524320912,1.0,0.30000000000000004,24.8,42.9,48.6,168.0,7368.4,,,,,,,,
near,0.47772991731131187,10.3390/buildings13061476,2023,1,M2,mortar,"opc 0.80 / glass_powder 0.20; w/b 0.35; s/b 1.00; sp_pce 0.10%, vma 0.10%",0.06363207547169812,1.0,0.5,16.0,33.3,38.5,173.0,9986.5,18.883333333333333,21.766666666666666,35.03333333333333,36.766666666666666,,,,
near,0.29855890215468633,10.3390/buildings15193436,2025,1,1% Microfibre + SF,mortar,ggbfs 0.50 / opc 0.45 / silica_fume 0.05; w/b 0.26; s/b 1.00; sp_pce 2.00%,1.2127721232891322,1.0,0.30000000000000004,,66.55,86.06,202.5,208.25,,,,,,,,
near,0.24623201840947184,10.1016/j.conbuildmat.2017.12.112,2018,1,Mixture A,mortar,opc 0.48 / fly_ash_f 0.48 / silica_fume 0.05; w/b 0.14; s/b 0.50,1.0,0.6666666666666666,0.30000000000000004,,,49.7,,3350.0,,,,,,,,
near,0.24623201840947184,10.1016/j.conbuildmat.2023.133561,2023,1,M2,mortar,opc 0.50 / ggbfs 0.50; w/b 0.37; s/b 1.16,1.0,0.6666666666666666,0.30000000000000004,,,53.400000000000006,176.0,,,,,,34.8,,,
near,0.24525296078096154,10.1016/j.conbuildmat.2026.147445,2026,0,MK0,mortar,fly_ash_f 0.60 / ggbfs 0.40; w/b 0.09; s/b 0.60; sp_pce 1.00%; fibre 2.17 vol%; activator 0.42/b,1.0,0.6666666666666666,0.0,,,66.6,173.0,,,,,,,,,
near,0.24525296078096154,10.1016/j.cscm.2025.e05426,2025,0,Control (OPC),mortar,opc 1.00; w/b 0.45; s/b 2.75,1.0,0.6666666666666666,0.0,,37.63,43.91,185.75,,,11.37,,,,,,
near,0.24525296078096154,10.1016/j.nxmate.2025.101552,2025,0,0% BP,mortar,opc 1.00; w/b 0.42; s/b 1.48,1.0,0.6666666666666666,0.0,,30.1,52.4,160.0,,,,46.3,,,,,
near,0.24525296078096154,10.1016/j.pes.2026.100274,2026,0,UHPC-CC20,mortar,opc 0.80 / calcined_clay 0.20; w/b 0.19; s/b 0.75; sp_pce 0.67%; fibre 1.49 vol%,1.0,0.6666666666666666,0.0,70.0,104.0,121.3,183.0,,75.66666666666667,81.33333333333333,109.76666666666667,115.53333333333333,,123.45526315789473,126.07236842105263,133.0
near,0.24525296078096154,10.1016/j.susmat.2018.05.001,2019,0,C,mortar,opc 1.00; w/b 0.48; s/b 2.75; sp_pce 0.53%,1.0,0.6666666666666666,0.0,,41.9,53.1,185.0,,,31.4,,,,,58.8,
near,0.1937354902994467,10.3390/buildings13061476,2023,1,M4,mortar,"glass_powder 0.60 / opc 0.40; w/b 0.35; s/b 1.00; sp_pce 0.10%, vma 0.10%",0.6235943396226415,1.0,0.30000000000000004,6.8,18.6,25.3,194.0,10162.0,,,,,,,,
near,0.1471517764685769,10.1016/j.conbuildmat.2026.147445,2026,0,MK30,mortar,ggbfs 0.40 / fly_ash_f 0.30 / metakaolin 0.30; w/b 0.09; s/b 0.60; sp_pce 1.00%; fibre 2.14 vol%; activator 0.42/b,1.0,0.6666666666666666,0.0,,,92.9,141.0,,,,,,,,,
near,0.1471517764685769,10.1016/j.nxmate.2025.101552,2025,0,0.2% BP,mortar,opc 1.00; w/b 0.42; s/b 1.48,1.0,0.6666666666666666,0.0,,35.9,61.8,170.0,,,,50.7,,,,,
near,0.08829106588114614,10.1016/j.conbuildmat.2026.147445,2026,0,MK10B2,mortar,fly_ash_f 0.50 / ggbfs 0.40 / metakaolin 0.10 / other_powder 0.01; w/b 0.09; s/b 0.60; sp_pce 0.99%; fibre 2.19 vol%; activator 0.42/b,1.0,0.6666666666666666,0.0,,,106.5,155.0,,,,,,,,,
near,0.08829106588114614,10.1016/j.nxmate.2025.101552,2025,0,0.6% BP,mortar,opc 0.99 / other_powder 0.01; w/b 0.42; s/b 1.47,1.0,0.6666666666666666,0.0,,21.7,49.5,185.0,,,,42.0,,,,,
