tier,score,doi,year,is_3dcp,mix,system_type,composition,target_distance,coverage,penalty,compressive_strength@28d,shear_stress_at_rate@50/s,shear_stress_at_rate@150/s,compressive_strength@3d,compressive_strength@7d,static_yield_stress_at_rest@1200s,compressive_strength@14d,compressive_strength@21d
near,0.1511219012789953,10.1016/j.istruc.2025.110861,2025,0,Ref,mortar,"opc 0.88 / silica_fume 0.12; w/b 0.19; s/b 0.30; sp_pce 1.75%, expansive 2.00%, other_admix 0.30%; fibre 1.75 vol%",1.0,0.75,0.7,110.2,240.0,710.0,,,,,
near,0.1458700406605285,10.1016/j.jobe.2025.113480,2025,1,AS0,mortar,"opc 0.91 / silica_fume 0.09; w/b 0.36; s/b 0.18; sp_other 0.27%, vma 0.09%, clay_modifier 0.45%",1.4142135623730951,0.5,0.0,,355.0,,40.27,49.0,1623.0,,
near,0.1458700406605285,10.1016/j.jobe.2026.116405,2026,1,Ms06/GGBFS50,mortar,ggbfs 0.50 / fly_ash_f 0.40 / slag_other 0.10; w/b 0.37; s/b 1.50; retarder 1.00%; activator 0.09/b,1.4142135623730951,0.5,0.0,42.8,,,,27.7,1750.0,,
near,0.1215583672171071,10.1016/j.jobe.2025.114496,2025,0,0.1SF0.23W,mortar,"opc 0.60 / limestone_powder 0.30 / silica_fume 0.10; w/b 0.23; s/b 0.36; sp_pce 2.00%, other_admix 0.02%",1.4142135623730951,0.5,0.0,,237.0,1027.0,,,,,
near,0.1030041546496149,10.1016/j.cemconcomp.2026.106741,2026,0,F70-Ms0-20,mortar,"fly_ash_f 0.70 / ggbfs 0.30; w/b 0.30; s/b 0.20; sp_pce 1.00%, retarder 0.10%; fibre 1.50 vol%; activator 0.06/b",1.5798387746020186,0.5,0.0,18.4,260.0,,,,,,
near,0.09692022255830825,10.1016/j.cemconcomp.2021.104158,2021,1,M3,mortar,opc 0.84 / silica_fume 0.16; w/b 0.35; s/b 1.00,1.476467872681073,0.5,0.5,25.0,269.34,,19.15,21.25,,22.5,23.75
near,0.0875220243963171,10.1016/j.jobe.2025.113480,2025,1,AS2,mortar,"opc 0.91 / silica_fume 0.09; w/b 0.36; s/b 0.18; sp_other 0.27%, vma 0.09%, clay_modifier 0.45%",1.4142135623730951,0.5,0.0,,575.0,,47.79,53.03,1811.5,,
near,0.07293502033026425,10.1016/j.jobe.2025.114496,2025,0,0.3SF0.23W,mortar,"opc 0.60 / silica_fume 0.30 / limestone_powder 0.10; w/b 0.23; s/b 0.36; sp_pce 2.00%, other_admix 0.02%",1.4142135623730951,0.5,0.0,,650.0,1420.0,,,,,
near,0.07144051097671093,10.1016/j.jobe.2026.116405,2026,1,GGBFS30,mortar,fly_ash_f 0.60 / ggbfs 0.30 / slag_other 0.10; w/b 0.37; s/b 1.50; retarder 1.00%; activator 0.09/b,1.617238942377943,0.5,0.0,22.2,,,,17.8,1130.0,,
near,0.0664856466425546,10.1016/j.istruc.2025.110861,2025,0,LC3-45,mortar,"opc 0.48 / calcined_clay 0.25 / limestone_powder 0.13 / silica_fume 0.12; w/b 0.19; s/b 0.30; sp_pce 1.75%, expansive 2.00%, other_admix 0.30%; fibre 1.75 vol%",1.3102750961979708,0.75,0.7,92.7,125.0,415.0,,,,,
near,0.043761012198158554,10.1016/j.jobe.2025.114496,2025,0,0.2SF0.21W,mortar,"opc 0.60 / silica_fume 0.20 / limestone_powder 0.20; w/b 0.21; s/b 0.36; sp_pce 2.00%, other_admix 0.02%",1.4142135623730951,0.5,0.0,,405.0,1526.0,,,,,
near,0.034835131287994085,10.1016/j.istruc.2025.110861,2025,0,LC3-30,mortar,"opc 0.62 / calcined_clay 0.17 / silica_fume 0.12 / limestone_powder 0.08; w/b 0.19; s/b 0.30; sp_pce 1.75%, expansive 2.00%, other_admix 0.30%; fibre 1.75 vol%",1.4458091595074316,0.75,0.7,111.3,107.5,335.0,,,,,
