n,rmse,mae,r2,medape,spearman,slice,level,coverage
260,1229.5939797348965,610.6716984621179,-0.09409678969874968,0.7041102148846862,0.3674766206757113,age_d,nan,0.7769230769230769
162,712.0427771045613,350.88101423798616,-0.07237607034873328,0.6382109925534512,0.22384408816240434,comparability_group,dynamic_yield_model_fit,0.7592592592592593
50,823.4840708449051,503.85912845037524,-0.15420965759695804,0.9207465636870562,0.47805021350346016,comparability_group,rotational_rheometer,0.94
51,1235.8381498817969,631.4002723465057,0.0009917609451167708,0.6795819018212902,0.4716600510235995,comparability_group,nan,1.0
61,951.4102390760258,405.2813113304848,-0.06797858698825987,0.8370662526029624,0.6259711884888275,binder_family,opc,0.819672131147541
160,1356.5712448755235,736.0585277149834,-0.13787056621468285,0.7328319393647835,0.2782464015136787,binder_family,blended,0.73125
41,966.6829369222271,341.65293333108485,-0.10190849507103472,0.7103286437482867,0.0018454125389968036,binder_family,aam,0.975609756097561
70,153.41458731007845,120.29982770997086,0.4530006428849387,0.6428537678549622,0.707930266786512,system_type,paste,1.0
218,1347.7115425657785,723.9015313456636,-0.16964025231854318,0.714740631174022,0.26754895865374695,system_type,mortar,0.7339449541284404
288,1174.9803162067924,577.1927839342105,-0.08575030300461672,0.6930311279782966,0.33637753340584287,is_3dcp,1,0.7986111111111112
43,680.4290719137892,376.2653353444342,-0.2106190519234632,0.604217049129873,0.41288872563614626,curing_type,moist,0.7906976744186046
33,336.1361224445788,222.06931852668032,0.6483860612116022,0.5828950788774339,0.7411108589833754,curing_type,ambient,0.8787878787878788
195,1384.4603163976994,724.4021012740541,-0.14698783288662254,0.733266940412549,0.2322775436309757,curing_type,unknown,0.7692307692307693
