n,rmse,mae,r2,medape,spearman,slice,level,coverage
1278,600.8813464330646,189.7905193424154,0.03576144362207079,0.8332210469858667,0.3690769588014624,age_d,nan,0.7965571205007824
972,335.1908535692585,123.64303022998104,0.04039687074177212,0.8426537914725705,0.35997066704004,comparability_group,dynamic_yield_model_fit,0.8179012345679012
175,430.78601001684854,158.4634128388506,0.19104084182536307,0.6734196279152528,0.41402101419257803,comparability_group,rotational_rheometer,0.8457142857142858
22,3125.4849985876876,2296.8332558269512,-1.0796969607936733,0.9109717618102013,0.6488235988227024,comparability_group,static_yield_coaxial,0.36363636363636365
124,906.0390476305273,365.70560179572533,-0.07031224268414848,0.8601875143114546,0.3546807147730184,comparability_group,nan,0.6935483870967742
302,427.0416745611267,109.7614888926963,0.11052256280441664,0.6838904121403273,0.36593399834367346,binder_family,opc,0.8642384105960265
529,815.1624773761656,312.734778739426,-0.029541437228944423,0.8472959896433992,0.4330714561156608,binder_family,blended,0.7693761814744802
53,432.0251148350346,187.46849097113687,-0.004291448554910593,0.7347718231958557,-0.012505296719631326,binder_family,lc3,0.7169811320754716
242,429.1681174405077,122.9734189164656,-0.022653520564211105,0.930737059372688,0.282804255031633,binder_family,aam,0.7520661157024794
37,224.06702248620516,146.93714467575674,0.36048727723846086,0.7564553903757876,0.5655750634602335,binder_family,csa,0.8378378378378378
138,191.43541418966748,55.29366231377877,0.2838721283346751,1.0222840063313903,-0.0010737705195542214,binder_family,other_binder,0.855072463768116
768,101.33052477428485,51.0401375550008,0.2437471326493148,0.8286392066585619,0.1807173880647303,system_type,paste,0.8515625
557,908.9215795095315,382.5163875756055,-0.07466750013115964,0.823608411275468,0.4164680958084172,system_type,mortar,0.7289048473967684
1037,151.98784992350997,74.05325367713154,-0.03858084534573991,0.847218439466566,0.11740299405636938,is_3dcp,0,0.8341369334619093
288,1241.7642860463557,609.2612133981509,-0.21268249075005907,0.7826257717693286,0.5009266176888022,is_3dcp,1,0.6770833333333334
45,229.8629790549439,101.98370588337247,0.029812254772651148,0.847218439466566,-0.17379606224976132,curing_type,water,0.8444444444444444
314,310.9188352512358,161.4890352282323,0.1218252946942483,0.8223971607957747,0.3163585295494704,curing_type,moist,0.8152866242038217
96,57.947984389850404,36.24678313162226,0.41270607550272886,0.8346878438859201,0.3024124438231288,curing_type,sealed,0.8854166666666666
113,317.0837002721611,135.2974498796681,0.22723343542839536,0.9630016877528943,0.33147712392217804,curing_type,ambient,0.7964601769911505
43,45.59438008250938,31.263900835494677,-0.2542491286254067,0.7333595635288416,-0.2714313010953134,curing_type,heat,0.9069767441860465
714,770.1900706084625,247.6904466981396,-0.0006036464327452418,0.8129057577645669,0.4504245442237707,curing_type,unknown,0.773109243697479
