spec,q10,q50,q90,no,wb,va,sp,tau_as,sys,ratio,in80,dy_q50,pv_q50
P01_wb0.30_VA0_SP0,3.9400425487197253,79.29341130502299,7509.78304574243,1,0.3,0.0,0.0,55.208,40.424,1.961542927593088,True,144.42262248134827,2.360833446773717
P02_wb0.35_VA0_SP0,1.2837626883229187,79.29341130502299,7509.78304574243,2,0.35,0.0,0.0,48.1,15.466,5.126950168435471,True,125.14375530956058,1.8047579466864698
P03_wb0.40_VA0_SP0,1.2837626883229187,79.29341130502299,6922.277408420889,3,0.4,0.0,0.0,39.628,12.021,6.596240853924214,True,116.53351810574951,1.7121150935452942
P04_wb0.45_VA0_SP0,1.2837626883229187,79.29341130502299,6922.277408420889,4,0.45,0.0,0.0,23.854,13.423,5.907279393952394,True,119.53733429565442,1.6733333160491521
P05_wb0.50_VA0_SP0,0.19796829083601872,47.466043966776844,9349.525793874403,5,0.5,0.0,0.0,22.328,13.206,3.5942786586988373,True,115.1906409098681,1.6733333160491521
P06_wb0.30_VA0.1_SP0,3.769762457619164,217.8408446581954,6250.939044086252,6,0.3,0.1,0.0,110.61,37.563,5.79934628911949,True,620.0200156743148,2.4124468116981035
P07_wb0.35_VA0.1_SP0,1.2282812500348583,217.8408446581954,6250.939044086252,7,0.35,0.1,0.0,67.687,26.733,8.148761630127385,True,574.6723367989831,1.8442141949151671
P08_wb0.40_VA0.1_SP0,1.2282812500348583,217.8408446581954,5761.915339328775,8,0.4,0.1,0.0,43.466,12.754,17.080197950305426,True,531.2118841652313,1.7495459513791942
P09_wb0.50_VA0.1_SP0,0.1662258866215859,162.96657872483905,6829.633656599661,9,0.5,0.1,0.0,21.405,12.2,13.357916288921235,True,544.9046215326675,1.7099163131256319
P10_wb0.30_VA0.2_SP0,3.5624164958888627,239.929196758997,5558.610224112253,10,0.3,0.2,0.0,141.5,35.308,6.795321081879376,True,592.7932217888535,2.4124468116981035
P11_wb0.40_VA0.2_SP0,1.1607228402074605,239.929196758997,5123.748814342168,11,0.4,0.2,0.0,40.167,22.417,10.703002041263192,True,507.8849009807536,1.7495459513791942
P12_wb0.50_VA0.2_SP0,0.15708306483546433,179.4908589955354,6073.210953229724,12,0.5,0.2,0.0,17.438,13.945,12.871341627503435,True,520.976352375792,1.7099163131256319
P13_wb0.30_VA0.1_SP0.05,3.8876288918146633,206.6869940050626,6446.38263072678,13,0.3,0.1,0.05,41.927,18.238,11.332766422034357,True,602.0470764850685,2.4124468116981035
P14_wb0.30_VA0.1_SP0.1,3.8876288918146633,206.6869940050626,6854.978591436345,14,0.3,0.1,0.1,6.783,18.093,11.42358890206503,True,591.2867212607296,2.4124468116981035
P15_wb0.30_VA0.1_SP0.15,3.8876288918146633,206.6869940050626,6854.978591436345,15,0.3,0.1,0.15,3.297,14.016,14.746503567712798,True,591.2867212607296,2.4124468116981035
P16_wb0.40_VA0.1_SP0.05,1.2666850308455555,206.6869940050626,5942.06897574966,16,0.4,0.1,0.05,28.796,15.434,13.391667358109537,True,531.218382609322,1.7495459513791942
P17_wb0.40_VA0.1_SP0.1,1.2666850308455555,206.6869940050626,6318.699641477798,17,0.4,0.1,0.1,7.32,11.843,17.452249768222796,True,531.218382609322,1.7495459513791942
P18_wb0.40_VA0.1_SP0.15,1.2666850308455555,206.6869940050626,6318.699641477798,18,0.4,0.1,0.15,5.611,8.106,25.498025413898667,True,531.218382609322,1.7495459513791942
P19_wb0.50_VA0.1_SP0.05,0.1662258866215859,162.96657872483905,6829.633656599661,19,0.5,0.1,0.05,11.133,9.777,16.668362352954798,True,544.9112874833426,1.7099163131256319
P20_wb0.50_VA0.1_SP0.1,0.1662258866215859,162.96657872483905,7262.521507828265,20,0.5,0.1,0.1,5.499,6.039,26.98568947256815,True,544.9112874833426,1.7099163131256319
