spec,measured_sys,old_q50,new_q10,new_q50,new_q90
P01_wb0.30_VA0_SP0,40.424,79.29341130502299,19.3,261.3,7888.1
P02_wb0.35_VA0_SP0,15.466,79.29341130502299,14.6,249.2,8041.6
P03_wb0.40_VA0_SP0,12.021,79.29341130502299,14.2,255.1,7403.4
P04_wb0.45_VA0_SP0,13.423,79.29341130502299,13.3,251.4,7820.9
P05_wb0.50_VA0_SP0,13.206,47.466043966776844,13.3,170.0,9984.9
P06_wb0.30_VA0.1_SP0,37.563,217.8408446581954,21.6,637.4,5607.2
P07_wb0.35_VA0.1_SP0,26.733,217.8408446581954,17.4,551.8,5051.3
P08_wb0.40_VA0.1_SP0,12.754,217.8408446581954,15.6,571.8,4601.9
P09_wb0.50_VA0.1_SP0,12.2,162.96657872483905,14.5,414.3,5889.8
P10_wb0.30_VA0.2_SP0,35.308,239.929196758997,22.8,639.7,5728.7
P11_wb0.40_VA0.2_SP0,22.417,239.929196758997,17.1,573.9,4652.1
P12_wb0.50_VA0.2_SP0,13.945,179.4908589955354,15.8,415.8,5954.0
P13_wb0.30_VA0.1_SP0.05,18.238,206.6869940050626,21.6,637.4,5715.4
P14_wb0.30_VA0.1_SP0.1,18.093,206.6869940050626,21.6,637.4,5715.4
P15_wb0.30_VA0.1_SP0.15,14.016,206.6869940050626,21.9,625.5,6086.1
P16_wb0.40_VA0.1_SP0.05,15.434,206.6869940050626,15.6,571.8,4931.6
P17_wb0.40_VA0.1_SP0.1,11.843,206.6869940050626,15.7,571.8,4931.6
P18_wb0.40_VA0.1_SP0.15,8.106,206.6869940050626,15.8,564.6,5231.2
P19_wb0.50_VA0.1_SP0.05,9.777,162.96657872483905,14.5,414.3,6311.8
P20_wb0.50_VA0.1_SP0.1,6.039,162.96657872483905,14.5,414.3,6311.8
