no,wb,va,hrwra,tau_as,sys,spec,A_auto_q50,A_auto_q10,A_auto_q90,A_auto_model,A_gen_q50,B_ana_med,B_ana_n,B_ana_papers,C_rest0_q50,C_rest0_gen_q50,A_gen_q10,A_gen_q90
1,0.3,0.0,0.0,55.208,40.424,P01_wb0.30_VA0_SP0,261.34017553123465,19.28680751080778,7888.07724721455,static_yield_stress,22.920280122256266,9.63,17,3,40.99181681797243,1.9549495260593854,2.6726946023987077,12816.404862935373
2,0.35,0.0,0.0,48.1,15.466,P02_wb0.35_VA0_SP0,249.17370298570685,14.622149934189252,8041.621776376165,static_yield_stress,20.69037173893842,320.0,9,2,269.51422122733254,5.860672310166213,2.0502794211742175,13474.633012435277
3,0.4,0.0,0.0,39.628,12.021,P03_wb0.40_VA0_SP0,255.14347771282968,14.209625507254097,7403.407014323432,static_yield_stress,21.186077573149078,272.1,12,2,317.16800191112236,6.567198183379465,1.9864018960002463,12405.233090265025
4,0.45,0.0,0.0,23.854,13.423,P04_wb0.45_VA0_SP0,251.44788243036643,13.296327243775448,7820.870704662679,static_yield_stress,20.160107613156132,15.032499999999999,38,5,497.26178151683325,7.645303337617053,1.8639119717894923,13166.011722829044
5,0.5,0.0,0.0,22.328,13.206,P05_wb0.50_VA0_SP0,169.98023561674765,13.341128876221754,9984.898660049552,static_yield_stress,9.95947701853529,11.004000000000001,38,5,153.96381863049479,2.4204605398891204,2.0920231065124537,20441.7415393567
6,0.3,0.1,0.0,110.61,37.563,P06_wb0.30_VA0.1_SP0,637.3801570276629,21.59727191321898,5607.1684717459975,static_yield_stress,37.18676848439133,9.63,17,3,87.7283858106257,3.4134487772143083,4.2334740194653655,10391.659219077246
7,0.35,0.1,0.0,67.687,26.733,P07_wb0.35_VA0.1_SP0,551.8000874846248,17.389930973771424,5051.308171329423,static_yield_stress,32.76168303349688,320.0,9,2,364.179637230811,9.433793768412384,3.297275868050699,10434.300834937667
8,0.4,0.1,0.0,43.466,12.754,P08_wb0.40_VA0.1_SP0,571.8061612938316,15.638547126394473,4601.861638868799,static_yield_stress,33.94949119762701,272.1,12,2,429.6798510391852,10.646330751115304,2.9562182792000216,9505.8957228656
9,0.5,0.1,0.0,21.405,12.2,P09_wb0.50_VA0.1_SP0,414.3090215734263,14.471965583408567,5889.7701634501345,static_yield_stress,17.860352674682606,11.004000000000001,38,5,222.38681543193462,4.248223242978455,3.0145002746651675,14602.15884104983
10,0.3,0.2,0.0,141.5,35.308,P10_wb0.30_VA0.2_SP0,639.73944028822,22.843093568694062,5728.676351884226,static_yield_stress,53.4075682638587,9.63,17,3,127.07615273551366,5.3002277633652675,3.5807408318347256,8490.153560400608
11,0.4,0.2,0.0,40.167,22.417,P11_wb0.40_VA0.2_SP0,573.9227202888826,17.06018380964998,4652.050168553796,static_yield_stress,48.75819659945955,272.1,12,2,590.9383256529624,16.09703503750553,2.57895502292377,7684.645640141112
12,0.5,0.2,0.0,17.438,13.945,P12_wb0.50_VA0.2_SP0,415.84259981322316,15.787553085617176,5954.004798883195,static_yield_stress,31.51144824625808,11.004000000000001,38,5,305.84839396310696,6.4232269302929215,2.312976581787868,10382.370100639442
13,0.3,0.1,0.05,41.927,18.238,P13_wb0.30_VA0.1_SP0.05,637.3801570276629,21.59727191321898,5715.411976711807,static_yield_stress,37.18676848439133,9.63,17,3,118.74011293281495,4.863203137340144,4.2334740194653655,10592.264858438912
14,0.3,0.1,0.1,6.783,18.093,P14_wb0.30_VA0.1_SP0.1,637.3801570276629,21.625149481142426,5715.411976711807,static_yield_stress,37.18676848439133,9.63,17,3,118.74011293281495,4.863203137340144,4.238938550356312,10592.264858438912
15,0.3,0.1,0.15,3.297,14.016,P15_wb0.30_VA0.1_SP0.15,625.4527421326682,21.881513537495067,6086.139738680548,static_yield_stress,36.490885483599676,9.63,17,3,55.51166223680332,2.622275168616865,4.289190757044944,10717.835134262383
16,0.4,0.1,0.05,28.796,15.434,P16_wb0.40_VA0.1_SP0.05,571.8061612938316,15.638547126394473,4931.630151942028,static_yield_stress,33.94949119762701,272.1,12,2,570.3202704033938,14.874606118718129,2.9562182792000216,10187.086367860533
17,0.4,0.1,0.1,7.32,11.843,P17_wb0.40_VA0.1_SP0.1,571.8061612938316,15.658733224967108,4931.630151942028,static_yield_stress,33.94949119762701,272.1,12,2,570.3202704033938,14.874606118718129,2.9600341396571275,10187.086367860533
18,0.4,0.1,0.15,5.611,8.106,P18_wb0.40_VA0.1_SP0.15,564.5981603783604,15.783152346417033,5231.2293508324,static_yield_stress,33.52153504710465,272.1,12,2,298.35220305020795,9.485381903277785,2.983553593103765,10268.029590905084
19,0.5,0.1,0.05,11.133,9.777,P19_wb0.50_VA0.1_SP0.05,414.3090215734263,14.471965583408567,6311.829951762578,static_yield_stress,17.860352674682606,11.004000000000001,38,5,321.15521780092473,6.457805767632177,3.0145002746651675,15648.546713297066
20,0.5,0.1,0.1,5.499,6.039,P20_wb0.50_VA0.1_SP0.1,414.3090215734263,14.490645868824194,6311.829951762578,static_yield_stress,17.860352674682606,11.004000000000001,38,5,321.15521780092473,6.457805767632177,3.0183913650075023,15648.546713297066
