n,rmse,mae,r2,medape,spearman,slice,level,coverage
221,229.2413169484293,142.98136824824726,0.06610385435671595,0.4518269725122962,0.5102226646956413,age_d,nan,0.8009049773755657
57,235.54492278833857,181.54097132894145,-0.5287194600730691,0.3795138627252685,0.3941744050867559,comparability_group,penetration_resistance,0.7543859649122807
145,185.3800889920152,117.2529399303351,-0.004695057476399089,0.43532511372910376,0.4114586485992093,comparability_group,vicat,0.8482758620689655
95,213.10434402476176,150.20145904658165,-0.14908225317599344,0.35712800730422745,0.25290344965387257,binder_family,opc,0.7894736842105263
71,227.20440082574697,135.29372837284524,0.06045975838159956,0.5688227232319105,0.45500224974494297,binder_family,blended,0.7464788732394366
24,269.59192769900534,158.1792765039792,-0.09563465570033869,0.6616199439613808,-0.2325915959463215,binder_family,aam,1.0
65,282.4946914799646,146.01909760387963,0.07387402921811093,0.6126897689598896,0.5482076466209487,system_type,paste,0.8
156,202.9697494218559,141.71564768340045,0.011077238761692754,0.4189462550423352,0.37640183883951855,system_type,mortar,0.8012820512820513
221,229.2413169484293,142.98136824824726,0.06610385435671595,0.4518269725122962,0.5102226646956413,is_3dcp,1,0.8009049773755657
32,129.57775347086746,107.74336201865077,-0.08347521026910032,0.4445896477596183,0.4450359737405485,curing_type,moist,0.875
44,174.18957962647633,121.04310006998821,0.3343584298366218,0.5144523801200278,0.6525129632941844,curing_type,ambient,0.9318181818181818
136,264.75912538621003,158.92880251444802,-0.03524978401291645,0.43801190242736504,0.4449955833830449,curing_type,unknown,0.7867647058823529
