n,rmse,mae,r2,medape,spearman,slice,level,coverage
1252,297.5626683579241,169.88324786984987,0.0006419088888460767,0.5139396242291303,0.4918975944338093,age_d,nan,0.799520766773163
116,412.137086725263,255.7080209457519,-0.09930516888391261,0.52839325378146,0.5694771121670195,comparability_group,penetration_resistance,0.7068965517241379
1103,277.81976603852405,156.71786892992492,-0.03927143931007948,0.5142744684372479,0.46049248063002945,comparability_group,vicat,0.8087035358114234
363,345.1502585708828,219.27276569515845,-0.18452751618216223,0.48956334666109697,0.16967402781970023,binder_family,opc,0.7658402203856749
231,247.85068211454703,168.44184768816254,-0.15858702093897015,0.3676145115809595,0.12210683156870855,binder_family,blended,0.8571428571428571
33,533.2172470888815,186.3514642089219,-0.11397899585604088,0.328003062916723,-0.1703338556962519,binder_family,lc3,0.9090909090909091
383,251.50728221681962,134.51251373577156,-0.019600096231522812,0.5676896742644247,0.28809521458576187,binder_family,aam,0.835509138381201
72,157.3572648829409,58.60020904353468,-0.07218489623808999,2.029355527591131,0.06455141637812485,binder_family,csa,0.5277777777777778
36,266.8926835008036,186.1516750594685,-0.3238808515699698,0.7893966862170265,-0.2181290216438352,binder_family,mgo,0.9444444444444444
118,343.21526626384673,187.27809743793995,-0.08699082501894595,0.5963645130406009,0.1864594995009498,binder_family,other_binder,0.7711864406779662
726,268.71470148822107,140.28219972398801,0.04926914020318052,0.4867357360295732,0.5599756750642447,system_type,paste,0.7988980716253443
526,333.3029861000667,210.73944740197103,-0.10027102853635106,0.5406274764888289,0.3883363719637078,system_type,mortar,0.8003802281368821
1215,298.7137796774029,170.5692874819037,0.0038879555861913717,0.5140638020281734,0.4944241016008494,is_3dcp,0,0.7983539094650206
37,256.912996527277,147.35519033889332,-0.21845308965549948,0.48249016278208845,0.4862903102563931,is_3dcp,1,0.8378378378378378
137,361.92523080720963,254.30344766497458,-0.12111718123354054,0.4884111521911322,0.2681207190264162,curing_type,water,0.6788321167883211
353,284.227140683931,187.85853715044084,-0.1362601580192786,0.6090580730240714,0.3273345599510782,curing_type,moist,0.8073654390934845
180,220.0743223476241,115.34774599321167,0.1461980715582175,0.47861386226139524,0.5791247647378439,curing_type,sealed,0.8888888888888888
134,375.548318873456,220.46531076195123,-0.11123813105877556,0.5788209641770112,0.31164831861523995,curing_type,ambient,0.8059701492537313
68,242.7892191123207,158.74073092910388,-0.19880497230776473,0.502577589542894,0.1888214118820257,curing_type,heat,0.8676470588235294
380,293.6549169896537,132.73914411785861,0.03950509912143185,0.4484765721040963,0.5241681247924707,curing_type,unknown,0.7789473684210526
