n,rmse,mae,r2,medape,spearman,slice,level,coverage
55,2.92926956376761,2.1335679498759825,-0.3023453900848001,0.31999977900596654,-0.18099417641212318,age_d,1.0,0.8727272727272727
43,1.6859197723296542,1.2990736073342481,-0.6174965804998889,0.2078457687021409,-0.25901725314483265,age_d,2.0,0.9534883720930233
97,2.15687891534045,1.70013858135715,0.0939971522871037,0.3024796155635695,0.35646391192444427,age_d,3.0,0.9484536082474226
228,3.902917962639366,2.52972275355049,-0.14402981494392542,0.3297969302687992,0.0947181388413243,age_d,7.0,0.7982456140350878
67,3.0433486335940687,2.199211958121339,-0.3855444268750523,0.24987707252504715,-0.08772297905927325,age_d,14.0,0.8507462686567164
57,3.2034503920689956,2.1743090434880115,-0.39735713093793934,0.2008405955427525,0.01556698233098825,age_d,21.0,0.8771929824561403
442,3.957280666405273,2.868972210677007,-0.16087515436642752,0.292770837541004,0.1759484394354102,age_d,28.0,0.755656108597285
33,2.6424018896994417,1.9949976251123862,-0.2699835105163295,0.22256483490374734,0.47001804280563964,age_d,56.0,0.9696969696969697
36,3.392913261635637,2.1478016649798386,0.14300578907078265,0.23643632457374614,-0.07370664629629442,age_d,90.0,0.8055555555555556
1103,3.49292096063176,2.444068750574472,-0.01052253495813904,0.28609705025055715,0.2823297935502887,comparability_group,unknown,0.8032638259292838
243,3.5782623490923977,2.8089844547684604,0.07550360820100488,0.3949380486611454,0.15325095629568455,binder_family,opc,0.6502057613168725
543,3.713256331332591,2.684841206170958,-0.11702786846726476,0.2972851207084541,0.2821244464737219,binder_family,blended,0.8047882136279927
72,3.084603032531421,2.542678497267075,0.042597667783125015,0.4223129569118992,0.5752996207083169,binder_family,lc3,0.8472222222222222
39,2.7530125095209166,2.1027294111442947,-0.3316636371500865,0.25369625559309605,0.6329857536084643,binder_family,csa,0.9487179487179487
122,1.1937603398668841,0.9432250398016948,-0.08236097812844823,0.1562866110583,0.31400304795316863,binder_family,mgo,1.0
31,2.3799743972581706,1.9610624936059087,0.37836170383428,0.24165616140931118,0.9302419354838711,binder_family,sulfate,0.8387096774193549
40,3.130715859311257,2.170359663402599,-0.09447000128106975,0.19687921649872564,0.5033324301120461,binder_family,other_binder,0.825
116,1.8125829474572315,1.3400352987104958,0.07197524084074614,0.19884245654856325,0.4111855254424045,system_type,paste,0.9568965517241379
993,3.6746428765671233,2.59377010615605,-0.018990095341280933,0.30703031292380695,0.2686607918466633,system_type,mortar,0.7824773413897281
1109,3.5262243457720155,2.462631028010257,-0.005741986061655879,0.28650628909573617,0.28523215533593965,is_3dcp,1,0.8007213706041478
117,4.220624414853081,3.1848596741247803,0.22219734953359294,0.32816273913200206,0.6434070180994362,curing_type,water,0.7008547008547008
197,3.315824830259509,2.290264523438588,-0.032459750442563884,0.24165616140931118,0.4105467726652046,curing_type,moist,0.7918781725888325
66,3.4287873313044384,3.005333663370307,-0.0787117805372195,0.37631632087582856,0.573953328118532,curing_type,sealed,0.9393939393939394
161,5.3587283764049,3.536278035034515,-0.1383706498536541,0.5057662540750849,0.13110732527095242,curing_type,ambient,0.6211180124223602
566,2.679331840171234,1.994849763475597,-0.02623710765236642,0.25541681655616,0.28365903091371053,curing_type,unknown,0.8621908127208481
