curve_uid,mix_uid,paper_uid,test_uid,kind,tau0,mu,r2,n,xmin,xmax,tau_10,tau_50,tau_100
10.1016/j.cemconcomp.2012.01.008::M1::CV1,10.1016/j.cemconcomp.2012.01.008::M1,10.1016/j.cemconcomp.2012.01.008,10.1016/j.cemconcomp.2012.01.008::T1,shear_stress,115.49999999999986,0.42500000000000093,0.9383116883116884,7,5.0,100.0,90.0,140.0,155.0
10.1016/j.cemconcomp.2012.01.008::M2::CV1,10.1016/j.cemconcomp.2012.01.008::M2,10.1016/j.cemconcomp.2012.01.008,10.1016/j.cemconcomp.2012.01.008::T1,shear_stress,7.799999999999994,0.11000000000000006,0.9453125,6,10.0,100.0,6.0,14.0,18.0
10.1016/j.cemconcomp.2012.01.008::M5::CV1,10.1016/j.cemconcomp.2012.01.008::M5,10.1016/j.cemconcomp.2012.01.008,10.1016/j.cemconcomp.2012.01.008::T1,shear_stress,146.29999999999987,0.48500000000000143,0.9019363496932516,7,5.0,100.0,110.0,175.0,190.0
10.1016/j.cemconcomp.2012.01.008::M6::CV1,10.1016/j.cemconcomp.2012.01.008::M6,10.1016/j.cemconcomp.2012.01.008,10.1016/j.cemconcomp.2012.01.008::T1,shear_stress,8.599999999999996,0.15000000000000008,0.986842105263158,6,10.0,100.0,7.0,16.5,23.0
10.1016/j.cemconcomp.2012.01.008::M9::CV1,10.1016/j.cemconcomp.2012.01.008::M9,10.1016/j.cemconcomp.2012.01.008,10.1016/j.cemconcomp.2012.01.008::T1,shear_stress,131.39999999999992,0.480000000000001,0.9028213166144201,7,5.0,100.0,100.0,160.0,175.0
10.1016/j.cemconcomp.2012.01.008::M10::CV1,10.1016/j.cemconcomp.2012.01.008::M10,10.1016/j.cemconcomp.2012.01.008,10.1016/j.cemconcomp.2012.01.008::T1,shear_stress,7.599999999999988,0.10000000000000009,0.9708737864077669,6,10.0,100.0,6.0,13.0,17.0
10.1016/j.cemconcomp.2021.104158::M1::CV4,10.1016/j.cemconcomp.2021.104158::M1,10.1016/j.cemconcomp.2021.104158,10.1016/j.cemconcomp.2021.104158::T1,shear_stress,1.7500000000000089,1.24,1.0,5,20.0,100.0,,63.75,125.75
10.1016/j.cemconcomp.2021.104158::M2::CV4,10.1016/j.cemconcomp.2021.104158::M2,10.1016/j.cemconcomp.2021.104158,10.1016/j.cemconcomp.2021.104158::T1,shear_stress,35.850000000000044,2.1499999999999995,1.0,5,20.0,100.0,,143.35,250.85
10.1016/j.cemconcomp.2021.104158::M3::CV4,10.1016/j.cemconcomp.2021.104158::M3,10.1016/j.cemconcomp.2021.104158,10.1016/j.cemconcomp.2021.104158::T1,shear_stress,119.14999999999974,3.1700000000000017,1.0,5,20.0,100.0,,277.65,436.15
10.1016/j.cemconcomp.2021.104158::M4::CV4,10.1016/j.cemconcomp.2021.104158::M4,10.1016/j.cemconcomp.2021.104158,10.1016/j.cemconcomp.2021.104158::T1,shear_stress,186.56999999999974,3.4200000000000026,1.0,5,20.0,100.0,,357.57,528.57
10.1016/j.cemconcomp.2021.104158::M5::CV4,10.1016/j.cemconcomp.2021.104158::M5,10.1016/j.cemconcomp.2021.104158,10.1016/j.cemconcomp.2021.104158::T1,shear_stress,50.19999999999991,1.5200000000000007,1.0,5,20.0,100.0,,126.2,202.2
10.1016/j.cemconcomp.2021.104158::M6::CV4,10.1016/j.cemconcomp.2021.104158::M6,10.1016/j.cemconcomp.2021.104158,10.1016/j.cemconcomp.2021.104158::T1,shear_stress,74.16999999999997,2.3500000000000005,1.0,5,20.0,100.0,,191.67,309.17
10.1016/j.cemconcomp.2021.104158::M7::CV4,10.1016/j.cemconcomp.2021.104158::M7,10.1016/j.cemconcomp.2021.104158,10.1016/j.cemconcomp.2021.104158::T1,shear_stress,115.33999999999975,3.0800000000000027,1.0,5,20.0,100.0,,269.34,423.34
10.1016/j.cemconcomp.2021.104201::M2::CV1,10.1016/j.cemconcomp.2021.104201::M2,10.1016/j.cemconcomp.2021.104201,10.1016/j.cemconcomp.2021.104201::T4,shear_stress,23.464285714285747,0.061071428571428575,0.9616219415943172,8,100.0,800.0,,,18.0
10.1016/j.cemconcomp.2023.104960::M1::CV1,10.1016/j.cemconcomp.2023.104960::M1,10.1016/j.cemconcomp.2023.104960,10.1016/j.cemconcomp.2023.104960::T1,shear_stress,297.2996213110475,2.0627448419952996,0.9996057580936509,5,18.0,88.0,,400.6470588235294,
10.1016/j.cemconcomp.2023.104960::M2::CV2,10.1016/j.cemconcomp.2023.104960::M2,10.1016/j.cemconcomp.2023.104960,10.1016/j.cemconcomp.2023.104960::T1,shear_stress,237.24618070711486,1.0604539502400692,0.9998536420328902,5,20.0,106.0,,290.3636363636364,343.4
10.1016/j.cemconcomp.2023.104960::M3::CV3,10.1016/j.cemconcomp.2023.104960::M3,10.1016/j.cemconcomp.2023.104960,10.1016/j.cemconcomp.2023.104960::T1,shear_stress,279.48799650807507,1.0471409864687913,0.9996383710858056,5,20.0,106.0,,331.72727272727275,384.0
10.1016/j.cemconcomp.2023.104960::M4::CV4,10.1016/j.cemconcomp.2023.104960::M4,10.1016/j.cemconcomp.2023.104960,10.1016/j.cemconcomp.2023.104960::T1,shear_stress,322.29999999999995,1.5600000000000005,0.999630314232902,5,18.0,100.0,,400.0,478.0
10.1016/j.cemconcomp.2023.104960::M5::CV5,10.1016/j.cemconcomp.2023.104960::M5,10.1016/j.cemconcomp.2023.104960,10.1016/j.cemconcomp.2023.104960::T1,shear_stress,429.1999999999997,1.4160000000000013,0.9878914010027433,5,25.0,125.0,,503.0,573.0
10.1016/j.cemconcomp.2023.104962::M1::CV1,10.1016/j.cemconcomp.2023.104962::M1,10.1016/j.cemconcomp.2023.104962,10.1016/j.cemconcomp.2023.104962::T1,shear_stress,37.70000000000001,0.40500000000000014,0.9981237322515213,10,10.0,100.0,42.0,58.0,78.0
10.1016/j.cemconcomp.2023.104962::M2::CV1,10.1016/j.cemconcomp.2023.104962::M2,10.1016/j.cemconcomp.2023.104962,10.1016/j.cemconcomp.2023.104962::T1,shear_stress,59.76666666666665,1.6983333333333344,0.9989619410451782,10,10.0,100.0,75.0,146.0,231.0
10.1016/j.cemconcomp.2023.104962::M3::CV1,10.1016/j.cemconcomp.2023.104962::M3,10.1016/j.cemconcomp.2023.104962,10.1016/j.cemconcomp.2023.104962::T1,shear_stress,88.66666666666664,2.016666666666668,0.9968001089324618,10,10.0,100.0,101.0,193.0,289.0
10.1016/j.cemconcomp.2023.104962::M4::CV1,10.1016/j.cemconcomp.2023.104962::M4,10.1016/j.cemconcomp.2023.104962,10.1016/j.cemconcomp.2023.104962::T1,shear_stress,107.74444444444438,2.261666666666668,0.9990427948293198,10,10.0,100.0,120.0,222.0,333.0
