n,rmse,mae,r2,medape,spearman,slice,level,coverage
1052,50.2550136099505,39.66853052141594,-0.05971825256983676,0.1860514450965797,0.0957057411476672,age_d,nan,0.7984790874524715
1024,49.210418804680366,38.854018004033335,-0.06645993427719565,0.1838999062729114,0.09335611463468269,comparability_group,flow_table,0.810546875
29,71.67778595073676,58.67342641619448,-0.7508507576138086,0.22535163668297079,-0.36772667963368877,comparability_group,mini_slump,0.5517241379310345
214,45.385844592996435,36.93511442086603,-0.021260150605909134,0.18086538968675267,0.10909154934142165,binder_family,opc,0.8504672897196262
435,48.47531966545215,37.86190277425643,-0.010255368864243275,0.16916127992575844,0.2699421651351634,binder_family,blended,0.774712643678161
54,53.35014844095492,36.790015454174956,-0.1813791977797241,0.1614095275739793,-0.04480147910656278,binder_family,lc3,0.8703703703703703
258,54.03349819452187,42.58102636802578,-0.1495777324219436,0.20244362999100673,0.07398239367374743,binder_family,aam,0.7945736434108527
75,57.48027096972094,49.31735526016482,-0.2758762166763167,0.2739253962947148,-0.2827697102722433,binder_family,other_binder,0.7466666666666667
130,57.267984898950985,44.710998898666695,-0.3389924191142295,0.20489001250534336,-0.39810428625216215,system_type,paste,0.823076923076923
928,49.106376983278025,38.895130361924146,-0.030502469435678137,0.18365155304752634,0.15936982667783586,system_type,mortar,0.7963362068965517
996,51.03741437330735,40.504333251816874,-0.0620195105583814,0.19267375723193972,0.08966262575833461,is_3dcp,0,0.7971887550200804
62,33.54470457091929,25.238627643269044,-0.020849417624133837,0.11784690941165478,0.21409252542077742,is_3dcp,1,0.8387096774193549
287,42.20414935281995,35.266497651773335,0.10157289180740792,0.19334517416170466,0.3817707420433519,curing_type,water,0.7770034843205574
211,45.62118676351514,35.840324572198725,-0.20320164386561723,0.16469031679703955,-0.053929657288310444,curing_type,moist,0.8104265402843602
103,53.956197192217765,42.624756288667,-0.1091527101455001,0.18272905550993515,-0.12288629506582166,curing_type,sealed,0.7669902912621359
60,49.073095866575,42.39851968909509,-0.4006933012828069,0.2867190201887462,0.281374357160164,curing_type,ambient,0.7833333333333333
189,56.30024116055894,45.85598311610505,-0.13784782775294002,0.22485931258995323,-0.018174030394094962,curing_type,heat,0.8465608465608465
208,56.77137730649987,41.45324823979396,-0.22122410119996028,0.16100839976590892,-0.12960948704927036,curing_type,unknown,0.7980769230769231
