n,rmse,mae,r2,medape,spearman,slice,level,coverage
45,392.5889021122033,293.9086372798166,-0.26373906105187994,0.09480130244909127,0.21823946400244582,age_d,28.0,0.8666666666666667
36,298.4295663645635,217.81381632369423,0.3380715996678729,0.07123886891657887,0.693538960259407,age_d,nan,0.8333333333333334
41,216.54664187548212,144.14193148672743,0.38554399813980955,0.04916850676360747,0.7588440712704752,comparability_group,pore_c642,0.8536585365853658
26,317.631448679649,239.9594217755571,0.2443412602367241,0.07913378493052844,0.577208419659884,binder_family,opc,0.8076923076923077
52,441.01903386330076,318.7906103665457,0.22427319421245484,0.09222778675193233,0.37579100702516605,binder_family,blended,0.7884615384615384
85,404.2454115160846,297.5079146837049,0.23606236051575769,0.08965427105477337,0.46928081617811385,system_type,mortar,0.788235294117647
89,401.4600399830167,297.26864304392694,0.22414379381595628,0.10003920778879884,0.45665271536856994,is_3dcp,1,0.797752808988764
29,421.86080498901765,306.2782161860097,-0.42344850398766254,0.0848374950404728,0.03121927406087902,curing_type,moist,0.9310344827586207
23,548.4523646767757,486.30162134907107,0.06760167231082426,0.31064899055251194,0.6699762056719417,curing_type,ambient,0.6521739130434783
25,191.3632656434539,129.74824895249876,0.2101771512006526,0.04608181075558123,0.7645123636704958,curing_type,unknown,0.96
