n,rmse,mae,r2,medape,spearman,slice,level,coverage
22,423.96022974187076,312.7301098558791,0.017283904379921444,0.12010998476427978,0.2987073988812316,age_d,3.0,0.8181818181818182
31,552.998498919786,431.98536840764285,0.02325095758054052,0.1352066240260595,0.3269208055590397,age_d,7.0,0.7096774193548387
258,307.64888786393334,206.5152661993732,0.08990628699569947,0.0673480453914144,0.49193276328766344,age_d,28.0,0.7984496124031008
92,379.2982808421902,279.86698516877766,0.1224475688064961,0.09450498295134632,0.4179312481003723,age_d,nan,0.8043478260869565
327,327.5456802026127,228.47210345989362,0.10419449063634567,0.08193456195705318,0.5454148091923419,comparability_group,pore_c642,0.7951070336391437
47,224.55241439815308,174.40094245177494,-1.283532845892573,0.0673890917964631,0.3372193190471813,comparability_group,pore_saturation,1.0
101,323.11383937899524,219.0627500718668,0.09204959955378567,0.06856031525295757,0.3524519261682943,binder_family,opc,0.7821782178217822
141,359.01603716912985,228.2180292174147,0.19376881261143886,0.050390485535688145,0.4714247655249106,binder_family,blended,0.723404255319149
130,289.64130154484354,224.52472113022228,-0.13760906400244166,0.09536357262487184,0.4318874313766451,binder_family,aam,0.8846153846153846
21,259.4276987090613,209.04415246343154,-0.6250296419504944,0.08024943599718085,0.7001257440114022,binder_family,other_binder,1.0
83,328.2296864698387,242.66589548273615,-0.16655445080599174,0.10592066222424766,-0.023070759843438374,system_type,paste,0.927710843373494
349,361.2844455757991,247.15499799678048,0.1222654213298906,0.07704270108345274,0.41871151402323414,system_type,mortar,0.7679083094555874
343,324.74100619794984,224.30348942624263,0.05339833105786784,0.08065194381479773,0.5560462179577672,is_3dcp,0,0.8221574344023324
89,453.749154489224,331.0367050869916,0.008875415020805688,0.10347480653142674,0.33599894587918666,is_3dcp,1,0.7078651685393258
81,323.69314060637,224.4814480933581,0.039806187320061026,0.07060838872496736,0.13806953478716744,curing_type,water,0.7901234567901234
68,347.41512937339746,276.0481325245384,-0.4621602678636505,0.10279891338420108,0.35962911132033154,curing_type,moist,0.8970588235294118
74,212.37049086517206,196.99004474122202,-4.697476944891192,0.09942561276891174,0.2217745232995449,curing_type,sealed,1.0
64,488.5911517409702,357.35127248051936,0.18102887446043858,0.1075906712139246,0.6312994941934159,curing_type,ambient,0.609375
50,157.5473940511399,118.60794046086383,-0.2156555334115211,0.05586886849798067,0.6146409374498933,curing_type,heat,1.0
95,434.6157177584853,274.3784373270108,0.2084867205794133,0.03960000610379113,0.5500413078288547,curing_type,unknown,0.6
