n,rmse,mae,r2,medape,spearman,slice,level,coverage
1747,192.25570591954175,108.99666856471859,0.004619018501345606,0.5056345110213342,0.5255037803023441,age_d,nan,0.7996565540927304
27,189.30229449993539,146.1763493196866,-0.6381837070445964,0.4009114333378194,0.37137123424247864,comparability_group,calorimetric,0.6666666666666666
221,223.0069716675424,136.28816037649304,0.025551107144673124,0.5220086131771524,0.6678035717082792,comparability_group,penetration_resistance,0.7963800904977375
1485,183.94202316061202,102.40872049590949,-0.022838648147625484,0.5056345110213342,0.4963103662376253,comparability_group,vicat,0.806060606060606
515,201.9068647628405,124.30709124463701,-0.08482531004330895,0.40569107392169407,0.43644666668051924,binder_family,opc,0.7902912621359224
360,199.50645801757648,121.34221354311715,-0.10184729961168837,0.45217644732575824,0.28174994164805567,binder_family,blended,0.8194444444444444
40,164.93027363155758,82.40187955495519,-0.055171395275915636,0.3429974667372655,0.2280002000360257,binder_family,lc3,0.875
468,204.76390843741828,109.27014119488415,-0.11016367747381195,0.6395537574471966,0.2460892110612446,binder_family,aam,0.8076923076923077
81,38.805723404459805,24.800514579008606,-0.14656403324168732,1.3632043517095265,0.09946685944065421,binder_family,csa,0.5802469135802469
67,93.83573386247674,53.898049527877,0.1840617789300264,0.5589439962883831,0.40161974363578934,binder_family,mgo,0.8059701492537313
190,191.928433924047,105.44960317408683,-0.08688146442418287,0.6656275409692844,0.0945186234634671,binder_family,other_binder,0.8526315789473684
929,187.4767174181187,101.97731837411717,-0.019673473438523104,0.49573860833752387,0.5659652925667589,system_type,paste,0.8030139935414424
818,197.54302663095322,116.96852226529158,0.02283003283050622,0.5203400680690773,0.49097917736831037,system_type,mortar,0.7958435207823961
1352,208.72985624042144,117.95916201318552,-0.021507859330716972,0.5232676796616968,0.5361558363201129,is_3dcp,0,0.7736686390532544
395,119.7985580431458,78.31998212844692,0.12215908073966908,0.4739235275914262,0.4739081847903323,is_3dcp,1,0.8886075949367088
173,302.60696690568994,217.29984561079672,-0.6679182997854995,0.514476546635129,0.19440717582876468,curing_type,water,0.6647398843930635
415,198.27334300892778,123.97487201260186,-0.10797776964879957,0.626017688675881,0.32793889715900637,curing_type,moist,0.8096385542168675
232,153.20119082556448,75.03535758714052,0.08983536139531956,0.427064591299695,0.5403672056985486,curing_type,sealed,0.8448275862068966
198,228.8107259641995,116.34176217869287,0.03258321218212912,0.6995582523109003,0.5333546984785607,curing_type,ambient,0.7474747474747475
74,96.1164742070997,70.04400491295523,0.10470060900369971,0.46565852723913104,0.4771278654259664,curing_type,heat,0.9054054054054054
655,155.90998454627731,85.1108497274951,0.08112572615013391,0.43317455200196225,0.5730272810081293,curing_type,unknown,0.816793893129771
