n,rmse,mae,r2,medape,spearman,slice,level,coverage
721,170.9618544357876,28.26716237273361,-0.01365621890387625,0.6921555024703092,0.4298101529835255,age_d,nan,0.7864077669902912
33,141.4915224857406,57.03418019642317,-0.18645444673071832,0.8248880024807056,-0.2229565002344453,comparability_group,concrete_rheometer,0.8484848484848485
515,198.0778744082226,30.092728248655863,-0.010950798953253349,0.7296345806769625,0.41317444401405873,comparability_group,dynamic_yield_model_fit,0.8116504854368932
128,37.082765223865096,17.63863390324324,-0.11674258225741352,0.8008113854874643,0.2845078349405121,comparability_group,rotational_rheometer,0.765625
96,19.733682041993788,12.534380979621963,-0.04542333326811554,0.5324755921354773,0.5419994146555509,comparability_group,nan,0.8333333333333334
214,302.1048772846118,43.754727062452986,-0.016291328394722138,0.7375113226831032,0.4455305396465309,binder_family,opc,0.7476635514018691
325,66.28115490935775,27.6399576274996,-0.03536758680265595,0.6493463225116789,0.43981072095587,binder_family,blended,0.7753846153846153
93,14.871026742540296,10.571167724027848,-0.1990089141682545,0.7571080943510862,0.0844036261694822,binder_family,aam,0.8387096774193549
28,16.83101042799546,9.203531432437599,-0.2735527485819762,0.7615926387470863,-0.0405054882685401,binder_family,csa,0.8928571428571429
24,17.41886286697163,16.522770932044285,-8.975950560494972,0.9052374881341276,,binder_family,cac,1.0
74,35.58620465303183,13.276292422592924,-0.27593699602348454,0.5316128676063888,0.23257722246349674,binder_family,other_binder,0.9594594594594594
180,323.88851349271545,39.2737237826634,-0.009529522963498849,0.8236354869768207,-0.04415220087752825,system_type,paste,0.7611111111111111
601,60.59476475250925,23.32403185626395,-0.049724275212948754,0.7034002828015066,0.272572070880585,system_type,mortar,0.8119800332778702
781,164.32606122965606,27.000017191413633,-0.01289697677621593,0.7296345806769625,0.378814393386952,is_3dcp,1,0.8002560819462228
21,23.433750622041988,15.503209480166053,-16.39993475864015,1.0647545574410207,0.08992979027150164,curing_type,water,0.8571428571428571
110,35.869839960629236,13.791590399962706,-0.09996059412921676,0.8291225747940525,0.2238011159854149,curing_type,moist,0.7545454545454545
68,51.05322100197379,22.72959262999952,-0.05332015328362383,0.664083165105094,0.4354239721853956,curing_type,ambient,0.75
562,189.2946280664141,28.85267730717939,-0.011413624954794921,0.6523192770032329,0.4396361468292232,curing_type,unknown,0.8113879003558719
