n,rmse,mae,r2,medape,spearman,slice,level,coverage
1731,136.31212489648982,20.39836120399841,-0.0049463623076249075,0.680956853829012,0.6552080173648964,age_d,nan,0.7995378393991912
38,131.3547566284718,47.782251944564386,-0.14945265514569583,0.4783478638806223,-0.123352218725167,comparability_group,concrete_rheometer,0.7894736842105263
1291,128.19991262576676,19.31039032895048,0.0008921624756169644,0.680956853829012,0.6543901593535683,comparability_group,dynamic_yield_model_fit,0.8055770720371804
233,33.86159468530035,13.107312165986041,-0.04104483292660088,0.6979770907198574,0.5368192813858673,comparability_group,rotational_rheometer,0.8369098712446352
242,203.2637425592405,23.42614890764493,-0.011483524492712283,0.7047707798435061,0.6525091097029743,comparability_group,nan,0.7727272727272727
385,277.0403226619237,35.971422561940535,-0.014859853765254671,0.6540458631956332,0.6030039718145858,binder_family,opc,0.7896103896103897
737,57.61240361422276,23.58312158469158,0.017332894910440877,0.7564774218448354,0.6818819687477365,binder_family,blended,0.7693351424694709
56,1.6932946010177807,1.2184128998550585,0.5247530392929562,0.6453306261347608,0.03466719095738915,binder_family,lc3,0.875
311,12.626757001522396,7.389762712196939,0.11626561420365433,0.6988198818672152,0.39313033429478267,binder_family,aam,0.8038585209003215
70,10.353017941187874,3.7515906940465533,0.011313311710916873,0.40925652818476366,0.8102252701714953,binder_family,csa,0.8857142857142857
29,14.52659457633339,12.429173982960966,-2.091972877655779,0.8094586018974518,0.6456720528866113,binder_family,cac,1.0
58,23.1161294021943,9.869257111260124,-0.08428557346307297,0.47290854836858925,0.484434053126656,binder_family,mgo,0.8275862068965517
166,23.458302587631202,7.733250555174992,0.003968628656705997,0.49144583731457914,0.6602663947571117,binder_family,other_binder,0.8373493975903614
875,181.86500972332598,14.83665998506301,-0.004351554684079995,0.6385693061382157,0.4691153012936029,system_type,paste,0.8491428571428571
942,58.65415762212208,24.53355343795612,-0.03962808775916771,0.7119301569455594,0.29994596445056926,system_type,mortar,0.7537154989384289
1036,102.72269677340665,14.413285684577545,0.016196720773031248,0.6777360539709373,0.6999624084008841,is_3dcp,0,0.8137065637065637
781,164.9485662119156,27.09413681979828,-0.020585686805036252,0.6901558803617291,0.3901075454870517,is_3dcp,1,0.7810499359795134
55,18.446839435198875,10.884516170792885,0.10921229020843548,0.6694445378205782,0.31547792589978424,curing_type,water,0.8909090909090909
387,44.711048916922884,20.05024898193641,0.1495693569778962,0.7521116206823645,0.7056485383405097,curing_type,moist,0.6692506459948321
128,69.9647384453905,14.63581756928936,-0.014286444409697951,0.5464228505578723,0.5966215086479777,curing_type,sealed,0.859375
154,35.594382100528854,13.630112126595465,-0.026295320151831003,0.768293749913321,0.538330362495673,curing_type,ambient,0.8376623376623377
64,6.713610472455795,4.781975181128891,-0.33612250085302553,0.7283760576475572,0.4039501653857663,curing_type,heat,0.9375
1029,172.34553548116207,22.795064870869584,-0.010722865033877538,0.6701071432086645,0.6839457294554407,curing_type,unknown,0.8221574344023324
