n,rmse,mae,r2,medape,spearman,slice,level,coverage
90,12.47999257090225,8.133716304606676,-0.08883796264709365,0.4709340909636912,0.10917737645178464,age_d,28.0,0.8
106,10.335768601400671,8.245829948820939,-0.2906637763338189,1.4274392179319026,0.0010987405227376543,age_d,nan,0.8018867924528302
87,12.530470306485931,8.176097884956645,-0.49343519177807504,0.38837656560153766,0.023288678318587143,comparability_group,pore_mip,0.7701149425287356
110,10.03266938986699,8.039694336614804,-0.733600180303754,2.142706002101262,0.06341439447076756,comparability_group,xct,0.8
80,9.78229123860653,7.035430215192756,-0.20442185629067589,0.7972487987103005,0.21193608268440614,binder_family,opc,0.825
114,12.047460102215842,8.777967380915651,-0.01607112281833345,0.6792749951312743,0.10645556394668693,binder_family,blended,0.7543859649122807
209,10.856677633521144,7.799960096683942,-0.01665741495809292,0.6740389592611037,0.1626236177025629,system_type,mortar,0.8038277511961722
219,11.101681884842122,7.986771590847645,-0.03140586594059225,0.699685324955451,0.13942598218679797,is_3dcp,1,0.7990867579908676
82,11.910259395868273,7.597409475878128,0.012860872502139964,0.6071586221516709,0.15229045719012027,curing_type,moist,0.8902439024390244
35,7.124466844820661,6.191693696030266,0.11689021839214397,0.4932311532684975,0.39197847003948527,curing_type,ambient,0.7428571428571429
69,10.026230339795312,8.140319286981985,-0.06482265717653002,0.652598741073465,0.022516679494099873,curing_type,unknown,0.7681159420289855
