n,rmse,mae,r2,medape,spearman,slice,level,coverage
60,2.4959501145409564,1.900540352338567,0.4612615935957538,0.5794475335713141,0.606674727481466,age_d,7.0,0.6666666666666666
244,2.34833947188413,1.5974478775053755,0.5211835698342027,0.37111356332686807,0.6619897610367819,age_d,28.0,0.8278688524590164
47,1.3909885203606975,0.9699289888707783,0.575319935584248,0.3051092773027362,0.8730065478845391,age_d,90.0,0.851063829787234
372,2.229517960485815,1.5362541737523265,0.3784278634511343,0.39872329822632635,0.6155074795674025,comparability_group,split_tensile,0.7903225806451613
149,1.7416035538094932,1.2563248895380696,0.6033027325159739,0.36312901945483755,0.5754707954473139,binder_family,opc,0.825503355704698
125,2.8906000037849298,1.9525097755159326,0.38774591359760013,0.35790137290351764,0.2845570066069329,binder_family,blended,0.888
21,0.6824984393476405,0.5644649996180503,-0.5521571472729263,0.24632057111792818,0.9130532692977553,binder_family,lc3,0.9523809523809523
43,2.48573552328191,2.294935695991868,-1.0982327735861541,0.41385837714463586,0.6548026141989669,binder_family,aam,0.5116279069767442
48,2.4242886489113005,1.6875617426302307,0.3598927905175512,1.3728222473940588,0.7703527790289291,binder_family,other_binder,0.6666666666666666
371,2.3120008056071204,1.628952605416999,0.4899518210910945,0.38706881299816703,0.6359852002125949,system_type,mortar,0.7897574123989218
346,1.9832766095936807,1.4923569729906645,0.5461633479544226,0.3849700757037842,0.6379747230725201,is_3dcp,0,0.7861271676300579
44,3.992387919927403,2.5305021186060688,0.1424171006934264,0.41752184187690655,0.5632960463106692,is_3dcp,1,0.9090909090909091
156,1.4209723718718332,1.073785762861569,0.09528993497520111,0.32735397304489344,0.26382976539120034,curing_type,water,0.8910256410256411
72,2.526052598200079,1.8886456185913059,0.32603634649987245,0.36799393924730184,0.5948812530208403,curing_type,moist,0.9861111111111112
59,1.8491788518778032,1.5369941422030002,0.5024174357593747,0.4536124959024456,0.7303194483248019,curing_type,sealed,0.4576271186440678
40,2.7353523420359407,2.310188599094623,0.5792749483042048,0.361592529107971,0.8591034158298331,curing_type,ambient,0.8
59,3.478225413204625,2.1372565874369274,0.3212800286519013,0.7738842838454547,0.6920524777738937,curing_type,unknown,0.6610169491525424
