curve_uid,mix_uid,paper_uid,xq,n,tmax_min,tau0,athix,r2,ratio_end
10.1016/j.cemconcomp.2014.05.001::M1::CV3,10.1016/j.cemconcomp.2014.05.001::M1,10.1016/j.cemconcomp.2014.05.001,time_after_mixing,6,90.0,-8.860000000000024,0.009366666666666674,0.8903936581680405,7.669303797468354
10.1016/j.cemconcomp.2014.05.001::M2::CV3,10.1016/j.cemconcomp.2014.05.001::M2,10.1016/j.cemconcomp.2014.05.001,time_after_mixing,6,90.0,504.8599999999993,0.32983809523809543,0.999999997776749,2.851440688536859
10.1016/j.cemconcomp.2014.05.001::M3::CV3,10.1016/j.cemconcomp.2014.05.001::M3,10.1016/j.cemconcomp.2014.05.001,time_after_mixing,6,90.0,496.5000000000004,0.25733333333333325,1.0,2.5904408735063864
10.1016/j.cemconcomp.2018.10.002::M1::CV1,10.1016/j.cemconcomp.2018.10.002::M1,10.1016/j.cemconcomp.2018.10.002,resting_time,4,30.0,326.0,0.10583333333333332,0.9873890419344965,1.5909090909090908
10.1016/j.cemconcomp.2018.10.002::M2::CV1,10.1016/j.cemconcomp.2018.10.002::M2,10.1016/j.cemconcomp.2018.10.002,resting_time,4,30.0,484.99999999999994,0.35416666666666663,0.8942938482485456,2.1052631578947367
10.1016/j.cemconcomp.2018.10.002::M3::CV1,10.1016/j.cemconcomp.2018.10.002::M3,10.1016/j.cemconcomp.2018.10.002,resting_time,4,30.0,649.0,0.08999999999999994,0.8191011235955055,1.2205882352941178
10.1016/j.cemconcomp.2018.10.002::M4::CV1,10.1016/j.cemconcomp.2018.10.002::M4,10.1016/j.cemconcomp.2018.10.002,resting_time,4,30.0,371.50000000000006,0.27333333333333315,0.9736108597285068,2.2375
10.1016/j.cemconcomp.2021.104060::M6::CV3,10.1016/j.cemconcomp.2021.104060::M6,10.1016/j.cemconcomp.2021.104060,rest_time,13,60.0,-5.147252747252745,0.012598901098901093,0.9122521867344906,47.3
10.1016/j.cemconcomp.2023.105282::M1::CV1,10.1016/j.cemconcomp.2023.105282::M1,10.1016/j.cemconcomp.2023.105282,hydration_time,12,120.0,-15.984848484848367,0.09245337995337995,0.9300582288178006,6.909090909090909
10.1016/j.cemconcomp.2023.105282::M2::CV1,10.1016/j.cemconcomp.2023.105282::M2,10.1016/j.cemconcomp.2023.105282,hydration_time,12,120.0,-53.40909090909099,0.1306818181818182,0.922611150696285,8.666666666666666
10.1016/j.cemconcomp.2023.105282::M3::CV1,10.1016/j.cemconcomp.2023.105282::M3,10.1016/j.cemconcomp.2023.105282,hydration_time,12,120.0,-71.2878787878787,0.1530011655011655,0.9149938965565473,9.25925925925926
10.1016/j.cemconcomp.2023.105282::M4::CV1,10.1016/j.cemconcomp.2023.105282::M4,10.1016/j.cemconcomp.2023.105282,hydration_time,12,120.0,-225.0757575757575,0.2601689976689977,0.9540704778261927,12.275862068965518
10.1016/j.cemconcomp.2023.105282::M5::CV1,10.1016/j.cemconcomp.2023.105282::M5,10.1016/j.cemconcomp.2023.105282,hydration_time,12,120.0,-15.757575757575754,0.12027972027972032,0.9065265890031582,6.933333333333334
10.1016/j.cemconcomp.2023.105282::M6::CV1,10.1016/j.cemconcomp.2023.105282::M6,10.1016/j.cemconcomp.2023.105282,hydration_time,12,120.0,23.106060606060698,0.10807109557109558,0.9439973417135751,5.303030303030303
10.1016/j.cemconcomp.2023.105282::M7::CV1,10.1016/j.cemconcomp.2023.105282::M7,10.1016/j.cemconcomp.2023.105282,hydration_time,12,120.0,41.21212121212122,0.10588578088578089,0.9395152940547062,4.631578947368421
10.1016/j.cemconcomp.2025.106158::M1::CV1,10.1016/j.cemconcomp.2025.106158::M1,10.1016/j.cemconcomp.2025.106158,rest_time,6,120.0,-70.68627450980392,0.060106951871657745,0.7980739809950166,33.57142857142857
10.1016/j.cemconcomp.2025.106158::M2::CV1,10.1016/j.cemconcomp.2025.106158::M2,10.1016/j.cemconcomp.2025.106158,rest_time,6,120.0,-97.3137254901961,0.07974153297682708,0.7979063231280688,38.75
10.1016/j.cemconcomp.2025.106158::M3::CV1,10.1016/j.cemconcomp.2025.106158::M3,10.1016/j.cemconcomp.2025.106158,rest_time,6,120.0,-115.31372549019616,0.09428698752228164,0.7942233694120981,40.833333333333336
10.1016/j.cemconcomp.2025.106158::M4::CV1,10.1016/j.cemconcomp.2025.106158::M4,10.1016/j.cemconcomp.2025.106158,rest_time,6,120.0,-130.80392156862754,0.113475935828877,0.8141211719880889,40.0
10.1016/j.cemconcomp.2025.106158::M5::CV1,10.1016/j.cemconcomp.2025.106158::M5,10.1016/j.cemconcomp.2025.106158,rest_time,6,120.0,-145.29411764705884,0.13342245989304813,0.8504723119433384,40.6
10.1016/j.cemconcomp.2025.106158::M6::CV1,10.1016/j.cemconcomp.2025.106158::M6,10.1016/j.cemconcomp.2025.106158,rest_time,6,120.0,-177.54901960784306,0.1601158645276292,0.8398315867447856,40.833333333333336
10.1016/j.cemconres.2016.11.020::M1::CV2,10.1016/j.cemconres.2016.11.020::M1,10.1016/j.cemconres.2016.11.020,resting_time,13,115.0,-25.5751019553245,0.03414610105589986,0.8903220096144411,14.722222222222221
