n,rmse,mae,r2,medape,spearman,slice,level,coverage
1218,11026.395316171634,3744.2046473597225,-0.07191878435295385,0.7265852906913277,0.3126022568667858,age_d,nan,0.8078817733990148
21,695.8230597274567,545.4126560745431,0.0037281435686908893,0.4008149684151982,0.5566742742444147,comparability_group,concrete_rheometer,1.0
76,883.958649202014,601.019528776261,0.253764024421148,5.036459475608352,0.7475855862273784,comparability_group,dynamic_yield_model_fit,0.6052631578947368
38,1231.839330208264,1046.4359338923111,-1.8217758530332175,0.5865354126673654,-0.11914045082686624,comparability_group,flow_table,0.8947368421052632
133,23065.730694062375,8492.908935441157,-0.12995291188163471,0.818280633809133,-0.07894961219640048,comparability_group,penetration,0.8571428571428571
243,1661.0297747597158,1149.7208604674504,0.03918568292423397,0.7137580100847888,0.29073360888408706,comparability_group,rotational_rheometer,0.9176954732510288
32,12566.404459066516,9300.75516247463,-1.2054824545116092,0.8995858446484186,-0.18077599369077613,comparability_group,squeeze_flow,1.0
170,2123.4846628082346,1307.531966265606,-0.06535984906099657,0.6174947397265502,0.2901728805715123,comparability_group,static_yield_coaxial,0.8588235294117647
457,14499.644077437095,6797.928210675055,-0.21727586735104887,0.7398691644708334,0.42760708490843463,comparability_group,static_yield_vane,0.6958424507658644
61,933.8578670965105,838.532677647947,0.18823832300376975,0.5791530726063093,0.37557252478917563,comparability_group,yield_slump_backcalc,0.7868852459016393
478,13388.175112544002,4014.274124520748,-0.06688074544975064,0.7546632454775832,0.19141344792154286,binder_family,opc,0.8598326359832636
611,7012.292536138065,3411.0504530342255,-0.13317922951972805,0.6793316069638833,0.3253881140461728,binder_family,blended,0.7970540098199672
79,22150.253236047123,7245.3723660016685,-0.06899848691756238,7.870714670733933,0.5564402949232746,binder_family,aam,0.46835443037974683
37,3274.0354002437944,2069.634519550513,-0.36283302322682154,0.7945862764574813,-0.5168856765622676,binder_family,csa,1.0
35,23047.622552736648,15391.98432240384,-0.6732448486789646,0.9005320281954876,0.7976902874758397,binder_family,other_binder,0.5714285714285714
323,10657.811490743372,5479.702391977159,-0.20591013197174202,0.8913093459012865,0.6660135397277352,system_type,paste,0.5975232198142415
933,12116.691123726065,3705.817991010839,-0.06110385165756127,0.6682927391255584,0.136282340865535,system_type,mortar,0.8703108252947481
1256,11758.818401767878,4162.000046354885,-0.08357330986429123,0.7401412343590977,0.3215593180859643,is_3dcp,1,0.8001592356687898
82,3271.0428120035995,1500.6329509453037,-0.054209161609258594,0.5724339253720518,0.39640983892749254,curing_type,water,0.7804878048780488
161,2099.0561385981946,1336.4581035552742,0.00601033809640783,0.6986860440487244,0.14913444025102615,curing_type,moist,0.8012422360248447
32,3605.99892275348,2233.2112739254844,-0.46599340380783927,0.4894597688636876,0.1648910860153987,curing_type,sealed,0.9375
57,1401.2700352334812,917.2186165099487,0.036768924460863994,0.5157152365447396,0.4043543411447048,curing_type,ambient,0.7719298245614035
923,13633.176060784523,5162.709745096818,-0.1118367640532838,0.7833981499687627,0.3550303599873725,curing_type,unknown,0.7984832069339112
