route,rest_s,q10,q50,q90
model,0.0,1.9647179009088087,65.12994686438427,5641.209249678726
model,30.0,2.4443596898842905,71.75723348712414,5329.9142472486565
model,35.38483377225136,2.4443596898842905,71.75723348712414,5329.9142472486565
model,41.73621536966203,2.4443596898842905,71.75723348712414,5329.9142472486565
model,49.22763477127912,2.4443596898842905,71.75723348712414,5329.9142472486565
model,58.06372244609377,2.4443596898842905,71.75723348712414,5329.9142472486565
model,68.48583889843896,2.4443596898842905,71.75723348712414,5329.9142472486565
model,80.77866750581502,2.4443596898842905,71.75723348712414,5329.9142472486565
model,95.2779907345742,2.07897009149355,94.60368492269299,4533.184030202951
model,112.37986214323386,2.07897009149355,94.60368492269299,4533.184030202951
model,132.55142470956176,2.07897009149355,94.60368492269299,4533.184030202951
model,156.34367098743127,2.07897009149355,94.60368492269299,4533.184030202951
model,184.40649364112704,1.9837742473243858,102.48470449633612,4325.609961535458
model,217.5064374671671,1.9837742473243858,102.48470449633612,4325.609961535458
model,256.54763780567663,1.9837742473243858,102.48470449633612,4325.609961535458
model,302.59651728058714,1.9837742473243858,102.48470449633612,4325.609961535458
model,356.9109154678586,1.9837742473243858,102.48470449633612,4325.609961535458
model,420.9744471777414,1.9837742473243858,102.48470449633612,4376.115945464842
model,496.5370278583267,1.9837742473243858,102.48470449633612,4376.115945464842
model,585.6626730844877,1.8490462350728736,115.55891536575312,4078.9120657845674
model,690.7858777902327,1.8490462350728736,115.55891536575312,4078.9120657845674
model,814.7781152608716,1.7811262868003803,123.18280138454266,3929.0837428031155
model,961.0262723258073,1.7811262868003803,123.18280138454266,3929.0837428031155
model,1133.525163233835,1.7811262868003803,123.18280138454266,3929.0837428031155
model,1336.9866492564443,1.7811262868003803,123.18280138454266,3929.0837428031155
model,1576.9683446552883,1.7811262868003803,123.18280138454266,3929.0837428031155
model,1860.0254246576603,1.7811262868003803,123.18280138454266,3929.0837428031155
model,2193.8896821224203,1.7811262868003803,123.18280138454266,3929.0837428031155
model,2587.6807238853066,1.7811262868003803,123.18280138454266,3929.0837428031155
model,3052.1550756780207,1.7811262868003803,123.18280138454266,4152.22519989024
model,3600.0,1.7811262868003803,123.18280138454266,4524.056705109443
physical,0.0,1.9627968799502098,55.844971511749975,5595.104225443689
physical,30.0,5.521564651649276,63.70879320048249,5596.958534381738
physical,35.38483377225136,5.888900779779415,65.71604538269277,5597.291372561531
physical,41.73621536966203,6.399918226737827,67.54477392863873,5597.683953350366
physical,49.22763477127912,7.05973558085367,70.99298700932697,5598.1470002155365
physical,58.06372244609377,7.757520424529084,74.50834916410525,5598.693161427296
physical,68.48583889843896,8.373046214427454,78.41015754335277,5599.3373555503285
physical,80.77866750581502,9.175914006014148,81.93102424005883,5600.097178949014
physical,95.2779907345742,9.992595411472863,86.72129975684345,5600.993386437638
physical,112.37986214323386,10.899967106021963,91.70675414849711,5602.050458204653
physical,132.55142470956176,12.050778909277016,96.61162418254568,5606.252358700073
physical,156.34367098743127,13.431627331256431,103.76975203211322,5639.355935440228
physical,184.40649364112704,14.698154173746198,110.70729563095799,5654.166101687557
physical,217.5064374671671,16.311587170876532,120.38063825680042,5654.85314163659
physical,256.54763780567663,17.869329274921522,131.0018260710238,5655.66350144964
physical,302.59651728058714,19.82215220088841,141.91139134852264,5656.619316358988
physical,356.9109154678586,22.227061055122117,152.4015564587322,5657.746694748465
physical,420.9744471777414,24.671644305156438,167.46293244217964,5659.076431312135
physical,496.5370278583267,27.633004551114144,184.63934478750662,5677.950292901767
physical,585.6626730844877,30.602691827683156,202.99942224248264,5713.212400161341
physical,690.7858777902327,33.88223197384279,220.13399219488974,5722.2911064701275
physical,814.7781152608716,38.27590263624604,238.12831875264163,5732.999390256911
physical,961.0262723258073,42.50726702623411,264.4647386050242,5799.245322760682
physical,1133.525163233835,47.00775660081215,296.75455065842414,5886.722279914254
physical,1336.9866492564443,53.1066277341002,332.14511363238535,6029.86706671552
physical,1576.9683446552883,60.133509166804956,373.59286238597497,6231.125212740442
physical,1860.0254246576603,68.85475796185524,422.19597215827497,6294.189358967741
physical,2193.8896821224203,78.30716126142745,473.526196631186,6352.498292527729
physical,2587.6807238853066,89.90445756523202,536.5160817788696,6625.915719446224
physical,3052.1550756780207,102.75944806007841,611.238267205322,6998.5016297581205
physical,3600.0,117.67119299806201,699.2133359718385,7294.260102434553
