n,rmse,mae,r2,medape,spearman,slice,level,coverage
52,4.866661053947007,4.31464416515892,0.6765619303902475,0.4965662697522355,0.6187219143921915,age_d,3.0,0.9423076923076923
102,4.501327957145209,3.6590156872925177,0.5136324370842398,0.3215262374533393,0.4430253645450224,age_d,7.0,0.8333333333333334
67,4.855716740276295,4.36047034529424,0.5160193448244328,0.5660938398894146,0.6517331189935714,age_d,14.0,0.7313432835820896
459,5.884529735530214,4.034218388711189,0.21916691048681725,0.3365485106697211,0.2782642773477388,age_d,28.0,0.7581699346405228
68,8.032452909303712,3.5534915137350223,0.3152393065947813,0.19967202287893732,0.32535895465050013,age_d,56.0,0.9411764705882353
61,9.487316070689392,6.530259803738152,0.23377863143865452,0.42972190329295884,0.7737553488719398,age_d,90.0,0.7540983606557377
94,6.534287841068675,4.3359411901623295,0.18214270703830404,0.7671932411978094,0.7045487033323975,age_d,nan,0.9148936170212766
686,4.97134284830908,3.831823788634465,-0.03609764448698449,0.36904096542198445,0.2637827468257456,comparability_group,absorption,0.8061224489795918
206,5.142816978929797,4.090479166618308,0.6329108467420821,0.384942798683956,0.6664253571469505,comparability_group,pore_c642,0.8009708737864077
260,4.983465319787935,3.6228259229926807,0.08735907459895254,0.39944764260215126,0.33503528992659415,binder_family,opc,0.8038461538461539
269,5.480742837904318,4.411678700456926,-0.10954482494968776,0.5651411809368582,0.14808824033857318,binder_family,blended,0.7620817843866171
57,4.147698595486711,3.187976406447792,0.31990064312389,0.24145062338237747,0.5937295213122458,binder_family,lc3,0.6842105263157895
256,4.29048040380445,3.4115495752454996,0.6028611913233497,0.3215262374533393,0.22090039454549254,binder_family,aam,0.90234375
74,14.503934534023404,9.890650561288705,-0.050470101931061384,0.3581184665828478,0.5485377126007013,binder_family,other_binder,0.6756756756756757
95,13.498348502663372,9.58433732356678,-0.051848715147452484,0.3318591523872964,0.6507237222836708,system_type,paste,0.6736842105263158
835,4.741599074704814,3.6640853032307446,-0.005560839761399317,0.3894156589982191,0.2942799607125406,system_type,mortar,0.8143712574850299
924,6.235517098222141,4.266591027924288,0.3242867729174903,0.37256527694687747,0.39670278962853706,is_3dcp,0,0.8008658008658008
309,5.8811196361258125,4.414088689196014,0.15611457384397842,0.5733233408904598,0.39470013439105023,curing_type,water,0.6925566343042071
141,10.757755154504897,6.513632069351796,0.20676981429400354,0.3797079897707034,0.37836264997984626,curing_type,moist,0.75177304964539
42,6.454135820670979,5.189535506972525,0.047618053739800215,0.29495245927012503,0.40074346853136994,curing_type,sealed,0.8571428571428571
142,3.895026774327995,2.9725249737854,0.7706305030248825,0.24808276977926422,0.7244302650916778,curing_type,ambient,0.9507042253521126
106,4.867776317944188,4.341980821404414,-1.114796313063227,0.6111206172430514,-0.3754758272732086,curing_type,heat,0.8301886792452831
190,3.742833983293306,3.091256539774229,0.02184225246374094,0.34281939422455465,0.4450969421103905,curing_type,unknown,0.868421052631579
