target,rows_in,after_kind,after_unit,after_bounds,after_geom,after_basis,after_age,after_cond_drop,groups,multi_condition_groups,conflict_dropped,final_rows,n_mixes,n_papers,curve_rows_added,curve_papers_added
compressive_strength,14531,14440,14440,14363,14355,14355,13923,13800,13482,438,184,12314,6419,1002,34225.0,769.0
flexural_strength,3739,3736,3736,3691,3691,3691,3537,3497,3449,111,60,3221,2002,294,2206.0,49.0
flow_table_spread,1600,1600,1572,1539,1539,1539,1539,1539,1537,112,94,1142,1135,174,,
mini_slump_flow_diameter,1791,1791,1791,1633,1633,1633,1633,1631,1617,80,55,1382,1191,131,,
initial_setting_time,1523,1505,1505,1503,1503,1503,1503,1501,1498,23,13,1449,1441,274,,
final_setting_time,1374,1366,1366,1364,1364,1364,1364,1362,1361,28,20,1300,1292,253,,
porosity_total,1598,1598,1595,1584,1584,1584,1584,1583,1582,61,31,1469,1153,254,,
dynamic_yield_stress,1724,1724,1724,1707,1707,1707,1707,1658,1613,95,86,1325,1075,154,124.0,27.0
plastic_viscosity,1401,1401,1401,1386,1386,1386,1386,1373,1352,68,48,1192,951,142,149.0,29.0
static_yield_stress,1100,1100,1097,1092,1092,1092,1092,1085,1073,111,95,780,570,88,,
structuration_rate_athix,331,331,331,329,329,329,329,327,291,55,55,180,139,21,137.0,27.0
water_absorption,1133,1133,1133,1115,1115,1115,1115,1115,1115,94,32,960,654,106,,
drying_shrinkage,1078,1074,1074,1037,1037,1037,988,987,986,68,49,825,543,113,16592.0,226.0
autogenous_shrinkage,916,912,912,910,910,910,826,826,823,25,21,737,497,127,10164.0,177.0
cumulative_heat,1055,1053,1042,1026,1026,747,480,480,480,7,7,459,269,53,,
elastic_modulus,443,443,443,418,418,418,395,390,388,13,5,366,240,42,,
splitting_tensile_strength,417,417,417,415,415,415,414,378,378,0,0,378,276,35,,
direct_tensile_strength,471,471,471,471,471,471,397,397,397,13,13,361,310,56,,
hardened_density,512,512,512,501,501,501,501,500,498,76,40,357,286,47,,
